#srid: Geo
#ref point: None
#lon,lat,obs
2.6702867302,48.8497920513,0
2.6702866320,48.8497894720,1
2.6702850197,48.8497471104,0
2.6702833092,48.8497021696,0
2.6702815988,48.8496572287,0
2.6702798883,48.8496122878,0
2.6702781778,48.8495673469,0
2.6702764674,48.8495224060,0
2.6702747569,48.8494774651,0
2.6702730465,48.8494325243,0
2.6702721167,48.8493878247,0
2.6702717138,48.8493587876,1
2.6702714933,48.8493428933,0
2.6702708699,48.8492979659,0
2.6702719882,48.8492538369,0
2.6702738701,48.8492090117,0
2.6702780778,48.8491645924,0
2.6702827898,48.8491198609,0
2.6702884127,48.8490755813,0
2.6702977596,48.8490310691,0
2.6703085974,48.8489870558,0
2.6703203189,48.8489431253,0
2.6703326576,48.8489002231,0
2.6703488959,48.8488570132,0
2.6703652345,48.8488140201,0
2.6703816925,48.8487726818,0
2.6703884995,48.8487582224,1
2.6704016452,48.8487304343,0
2.6704222036,48.8486880855,0
2.6704453618,48.8486466063,0
2.6704709098,48.8486052549,0
2.6704965589,48.8485637104,0
2.6705258299,48.8485230573,0
2.6705576836,48.8484833309,0
2.6705594627,48.8484810749,1
2.6705865923,48.8484426098,0
2.6706186669,48.8484029552,0
2.6706530286,48.8483643633,0
2.6706884406,48.8483261615,0
2.6707239881,48.8482880617,0
2.6707595778,48.8482499476,0
2.6707635968,48.8482456436,1
2.6707956826,48.8482127008,0
2.6708326590,48.8481753143,0
2.6708696353,48.8481379279,0
2.6709066116,48.8481005414,0
2.6709435878,48.8480631548,0
2.6709811269,48.8480251842,0
2.6710177967,48.8479873216,0
2.6710543471,48.8479450124,0
2.6710862838,48.8479053409,0
2.6710905495,48.8479000420,1
2.6711182204,48.8478656694,0
2.6711511564,48.8478223774,0
2.6711773640,48.8477777149,0
2.6711894076,48.8477323961,1
2.6711894076,48.8477323961,0
2.6711818547,48.8476798660,0
2.6711407431,48.8476305624,0
2.6711000647,48.8475958282,0
2.6710594338,48.8475618880,0
2.6710201854,48.8475268102,0
2.6709811188,48.8474915472,0
2.6709559692,48.8474688462,1
2.6709420522,48.8474562842,0
2.6709024703,48.8474200279,0
2.6708609452,48.8473684421,0
2.6708849504,48.8473017339,0
2.6709306595,48.8472757213,0
2.6708698575,48.8472196422,1
2.6708698575,48.8472196422,0
2.6708539071,48.8472049306,1
2.6708302393,48.8471831013,0
2.6707906212,48.8471465604,0
2.6707510031,48.8471100195,0
2.6707133438,48.8470752852,1
2.6707113850,48.8470734785,0
2.6706717670,48.8470369376,0
2.6706321491,48.8470003966,0
2.6705925312,48.8469638557,0
2.6705529134,48.8469273147,0
2.6705132956,48.8468907737,0
2.6704736779,48.8468542327,0
2.6704340397,48.8468176781,0
2.6703943326,48.8467812020,0
2.6703547084,48.8467446644,0
2.6703150841,48.8467081268,0
2.6702754599,48.8466715892,0
2.6702358358,48.8466350516,0
2.6701962117,48.8465985139,0
2.6701565877,48.8465619762,0
2.6701169637,48.8465254386,0
2.6700773398,48.8464889009,0
2.6700377160,48.8464523632,0
2.6700083944,48.8464253051,1
2.6699981087,48.8464158007,0
2.6699585380,48.8463792359,0
2.6699189673,48.8463426710,0
2.6698793967,48.8463061062,0
2.6698398261,48.8462695413,0
2.6698002556,48.8462329764,0
2.6697606851,48.8461964115,0
2.6697211147,48.8461598466,0
2.6696815443,48.8461232816,0
2.6696419740,48.8460867167,0
2.6696288806,48.8460746176,1
2.6696024038,48.8460501517,0
2.6695542569,48.8460056614,0
2.6695269994,48.8459693015,0
2.6694979639,48.8459220593,0
2.6694844536,48.8458744622,0
2.6694807848,48.8458288760,0
2.6694835999,48.8458059763,1
2.6694889290,48.8457823596,0
2.6695030779,48.8457378997,0
2.6695288730,48.8456931145,0
2.6695587252,48.8456548633,0
2.6695866858,48.8456190358,0
2.6696343208,48.8455916014,0
2.6696859863,48.8455636360,0
2.6696881981,48.8455624902,1
2.6697395192,48.8455358574,0
2.6697923798,48.8455087305,0
2.6698448770,48.8454835527,0
2.6699092757,48.8454589448,0
2.6699435826,48.8454549990,0
2.6700023991,48.8454510595,0
2.6700701643,48.8454501491,0
2.6700981359,48.8454496668,1
2.6701352215,48.8454510121,0
2.6701991675,48.8454562793,0
2.6702624065,48.8454657995,0
2.6703174514,48.8454799905,0
2.6703676358,48.8454984288,0
2.6704086534,48.8455215924,0
2.6704514515,48.8455531602,0
2.6704970981,48.8455891705,0
2.6705079308,48.8455990800,1
2.6705340639,48.8456229861,0
2.6705739252,48.8456594503,0
2.6706137865,48.8456959144,0
2.6706536479,48.8457323786,0
2.6706935093,48.8457688427,0
2.6707333708,48.8458053069,0
2.6707732323,48.8458417710,0
2.6708130939,48.8458782351,0
2.6708529555,48.8459146992,0
2.6708928172,48.8459511632,0
2.6709326790,48.8459876273,0
2.6709725482,48.8460240905,0
2.6710124214,48.8460605490,0
2.6710522948,48.8460970074,0
2.6710921681,48.8461334659,0
2.6711320416,48.8461699243,0
2.6711719150,48.8462063828,0
2.6712117886,48.8462428412,0
2.6712516622,48.8462792996,0
