X,Y,Z,fid,time,magvar,geoidheigh,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,number,link_href,link_text,link_type
675807.712767602,6861133.33246571,71.905945,"1",2024-05-01T14:08:41,,,"002",,,,"Flag, Blue",,,,,,,,,,,,
675803.623830003,6861085.53556821,74.323624,"2",2024-05-01T14:10:50,,,"003",,,,"Flag, Blue",,,,,,,,,,,,
675814.728138499,6861020.77358712,75.873024,"3",2024-05-01T14:14:41,,,"004",,,,"Flag, Blue",,,,,,,,,,,,
675826.484628077,6860989.14509778,78.956619,"4",2024-05-01T14:15:51,,,"005",,,,"Flag, Blue",,,,,,,,,,,,
675842.301059696,6860963.17066603,80.329109,"5",2024-05-01T14:17:03,,,"006",,,,"Flag, Blue",,,,,,,,,,,,
675865.699676881,6860925.15562693,82.840607,"6",2024-05-01T14:19:50,,,"007",,,,"Flag, Blue",,,,,,,,,,,,
675871.783021482,6860905.67115097,84.17804,"7",2024-05-01T14:21:05,,,"008",,,,"Flag, Blue",,,,,,,,,,,,
675855.356601947,6860873.38180328,85.473724,"8",2024-05-01T14:22:30,,,"009",,,,"Flag, Blue",,,,,,,,,,,,
675845.041929063,6860846.07080711,88.195023,"9",2024-05-01T14:23:20,,,"010",,,,"Flag, Blue",,,,,,,,,,,,
675836.024809902,6860830.76348644,88.004593,"10",2024-05-01T14:25:01,,,"011",,,,"Flag, Blue",,,,,,,,,,,,
675784.423744198,6860758.25736102,93.396637,"11",2024-05-01T14:29:16,,,"012",,,,"Flag, Blue",,,,,,,,,,,,
675757.178175138,6860718.78587661,95.559753,"12",2024-05-01T14:32:07,,,"013",,,,"Flag, Blue",,,,,,,,,,,,
675746.787985472,6860691.14181767,96.618233,"13",2024-05-01T14:33:16,,,"014",,,,"Flag, Blue",,,,,,,,,,,,
675761.067910298,6860666.17441333,97.258705,"14",2024-05-01T14:35:17,,,"015",,,,"Flag, Blue",,,,,,,,,,,,
675788.311331986,6860652.38355449,97.555344,"15",2024-05-01T14:37:10,,,"016",,,,"Flag, Blue",,,,,,,,,,,,
675820.294841144,6860666.48295771,95.754776,"16",2024-05-01T14:38:21,,,"017",,,,"Flag, Blue",,,,,,,,,,,,
675879.718864768,6860749.40910809,90.337769,"17",2024-05-01T14:39:59,,,"018",,,,"Flag, Blue",,,,,,,,,,,,
675848.198931726,6860846.39123341,87.731255,"18",2024-05-01T14:58:31,,,"019",,,,"Flag, Blue",,,,,,,,,,,,
675894.765486099,6860838.08009999,89.664825,"19",2024-05-01T15:00:20,,,"020",,,,"Flag, Blue",,,,,,,,,,,,
675933.341352192,6860831.80403331,87.083725,"20",2024-05-01T15:01:50,,,"021",,,,"Flag, Blue",,,,,,,,,,,,
675954.956180303,6860858.84589141,85.198746,"21",2024-05-01T15:02:38,,,"022",,,,"Flag, Blue",,,,,,,,,,,,
675981.45032643,6860876.86080891,86.114502,"22",2024-05-01T15:03:33,,,"023",,,,"Flag, Blue",,,,,,,,,,,,
676018.119395554,6860906.39801881,83.427406,"23",2024-05-01T15:04:43,,,"024",,,,"Flag, Blue",,,,,,,,,,,,
676024.995542311,6860936.50343597,81.602936,"24",2024-05-01T15:06:44,,,"025",,,,"Flag, Blue",,,,,,,,,,,,
676034.905617274,6861008.18330725,77.985977,"25",2024-05-01T15:09:49,,,"026",,,,"Flag, Blue",,,,,,,,,,,,
676029.833995357,6861059.46526941,77.226059,"26",2024-05-01T15:11:56,,,"027",,,,"Flag, Blue",,,,,,,,,,,,
675998.256472314,6861107.29874016,74.233582,"27",2024-05-01T15:14:41,,,"028",,,,"Flag, Blue",,,,,,,,,,,,
675866.170780146,6861143.98583453,72.447517,"28",2024-05-01T15:19:23,,,"029",,,,"Flag, Blue",,,,,,,,,,,,
675827.933364146,6861142.92207027,71.373192,"29",2024-05-01T15:20:27,,,"030",,,,"Flag, Blue",,,,,,,,,,,,
