field_1,field_2,altimeZ_mn
903008.9311483616,6434013.81355413,917.509999999999991
903014.320044199,6434010.377839672,913.350000000000023
903031.7026090263,6433999.310302476,913.350000000000023
903038.8509475142,6433999.243543486,912.120000000000005
903057.630106133,6433989.85518754,912.120000000000005
903060.6277819033,6434003.376900154,912.120000000000005
903063.6254428183,6434016.898613719,912.190000000000055
903073.050915684,6434035.7529828735,912.190000000000055
903082.4766906588,6434054.596264714,916.440000000000055
903091.902043071,6434073.450660542,915.409999999999968
903096.8173505447,6434090.079809384,920.129999999999995
903099.9753678212,6434111.007687422,920.129999999999995
903103.1258427481,6434131.924208008,924.529999999999973
903106.2838086562,6434152.852086865,928.539999999999964
903109.4421112629,6434173.768865491,932.039999999999964
903110.3985751946,6434191.824529793,934.629999999999995
903111.3467888617,6434209.891036774,934.629999999999995
903129.3056190531,6434220.056324204,928.759999999999991
903141.6130491864,6434219.9581141425,933.450000000000045
903158.2389626056,6434202.34321568,929.679999999999950
903174.8653307118,6434184.717260097,933.029999999999973
903191.4914284999,6434167.102448688,939.620000000000005
903208.1176184581,6434149.487680803,934.929999999999950
903223.3946979216,6434140.096574192,940.629999999999995
903238.6721863411,6434130.69440418,940.340000000000032
903253.9414794408,6434121.303114651,940.340000000000032
903270.0448625747,6434115.595121192,944.490000000000009
903286.1479135042,6434109.898269945,940.309999999999945
903302.2431158129,6434104.201202804,943.620000000000005
903317.3249334311,6434102.482668659,946.200000000000045
903332.398881451,6434100.763913556,946.200000000000045
903351.6985711383,6434102.483723408,947.879999999999995
903371.0061311694,6434104.20385068,948.100000000000023
903390.6653304661,6434107.713533188,945.480000000000018
903410.3248724598,6434111.212177163,945.480000000000018
903429.9506116391,6434123.221952343,942.879999999999995
903449.5841547579,6434135.232046728,934.460000000000036
903469.2097437398,6434147.241945043,930.769999999999982
903488.8352576304,6434159.251904911,928.610000000000014
903508.4685754144,6434171.26218406,930.129999999999995
903528.0939391066,6434183.27226706,930.850000000000023
903536.5682633483,6434199.084781064,931.940000000000055
903546.1898610631,6434209.723079023,935.309999999999945
903555.8110620519,6434220.372492189,935.720000000000027
903563.4692635144,6434233.402442134,940.779999999999973
903565.5140248981,6434255.761028113,940.690000000000055
903567.5591296519,6434278.108512777,941.629999999999995
903569.6038513368,6434300.467097376,943.740000000000009
903576.6498666487,6434318.944384568,946.779999999999973
903583.6883213796,6434337.41032039,946.779999999999973
903590.7342466067,6434355.887621709,949.860000000000014
903596.5066348086,6434376.645766398,952.519999999999982
903602.2868589548,6434397.404173131,955.590000000000032
903608.0666769919,6434418.173684685,959.610000000000014
903620.2415034942,6434439.708133528,960.690000000000055
903632.4162418355,6434461.2426049765,960.690000000000055
903636.5023103207,6434475.200304217,964.309999999999945
903651.6111001045,6434495.041744155,964.509999999999991
903666.7280327753,6434514.872377086,966.039999999999964
903681.8366244121,6434534.713888384,966.039999999999964
903696.9454804421,6434554.544334747,969.250000000000000
903712.0617524307,6434574.386175367,972.590000000000032
903718.222132321,6434588.33407055,976.259999999999991
903735.349762913,6434603.830173168,976.259999999999991
903752.4694289782,6434619.326064292,980.370000000000005
903761.5799564605,6434636.626594451,980.370000000000005
903770.6900670868,6434653.938237755,984.610000000000014
903781.7424479404,6434663.479203002,992.179999999999950
903792.8023093595,6434673.031546335,988.559999999999945
903803.386487581,6434691.324980607,994.450000000000045
903813.9112112195,6434709.505361187,991.299999999999955
903813.9784790872,6434709.618690124,991.299999999999955
903824.6248078841,6434730.103362848,995.529999999999973
903835.27142666,6434750.576952096,1000.690000000000055
903845.9258499541,6434771.050816619,1001.799999999999955
903856.5723212904,6434791.52444011,1006.710000000000036
903860.5909758015,6434804.868902305,1006.710000000000036
903864.6096113352,6434818.213366619,1008.409999999999968
