track_seg_point_id,ele,time,X,Y,Z
0,963.093,2018/08/02 13:42:42,6.12015,44.9828,963.093
1,968.065,2018/08/02 13:43:42,6.11997,44.98256,968.065
2,971.021,2018/08/02 13:44:42,6.1201,44.98246,971.021
3,987.008,2018/08/02 13:47:42,6.11994,44.98217,987.008
4,990.061,2018/08/02 13:48:42,6.12009,44.98206,990.061
5,1001.056,2018/08/02 13:49:42,6.12002,44.98185,1001.056
6,999.09,2018/08/02 13:50:42,6.12013,44.98185,999.09
7,1039.025,2018/08/02 13:54:42,6.12065,44.98045,1039.025
8,1061.058,2018/08/02 13:59:42,6.12031,44.98014,1061.058
9,1093.018,2018/08/02 14:03:42,6.11967,44.97995,1093.018
10,1133.067,2018/08/02 14:12:42,6.11936,44.97933,1133.067
11,1145.012,2018/08/02 14:14:42,6.11892,44.9794,1145.012
12,1177.067,2018/08/02 14:17:42,6.11831,44.97921,1177.067
13,1195.081,2018/08/02 14:18:42,6.11822,44.97901,1195.081
14,1204.019,2018/08/02 14:19:42,6.1187,44.97864,1204.019
15,1219.008,2018/08/02 14:20:42,6.1186,44.97851,1219.008
16,1225.038,2018/08/02 14:21:42,6.11871,44.97837,1225.038
17,1216.033,2018/08/02 14:23:42,6.11928,44.97804,1216.033
18,1226.097,2018/08/02 14:26:42,6.11961,44.97731,1226.097
19,1242.032,2018/08/02 14:29:42,6.11947,44.97646,1242.032
20,1251.025,2018/08/02 14:30:42,6.11911,44.97596,1251.025
21,1263.035,2018/08/02 14:32:42,6.11891,44.97527,1263.035
22,1251.024,2018/08/02 14:35:42,6.11917,44.97477,1251.024
23,1260.059,2018/08/02 14:37:42,6.11908,44.97402,1260.059
24,1277.019,2018/08/02 14:40:42,6.11833,44.97311,1277.019
25,1274.009,2018/08/02 14:41:42,6.11836,44.97291,1274.009
26,1273.019,2018/08/02 14:43:42,6.11813,44.97259,1273.019
27,1282.008,2018/08/02 14:45:42,6.11752,44.97232,1282.008
28,1297.013,2018/08/02 14:48:42,6.1171,44.9724,1297.013
29,1368.088,2018/08/02 14:58:42,6.1153,44.9709,1368.088
30,1378.012,2018/08/02 14:59:42,6.11509,44.9709,1378.012
31,1391.097,2018/08/02 15:01:42,6.11482,44.9702,1391.097
32,1436.06,2018/08/02 15:09:42,6.11368,44.96967,1436.06
33,1442.09,2018/08/02 15:11:42,6.1135,44.96968,1442.09
34,1435.069,2018/08/02 15:13:42,6.11356,44.96997,1435.069
35,1482.024,2018/08/02 15:22:42,6.1124,44.96962,1482.024
36,1496.086,2018/08/02 15:26:42,6.11191,44.96928,1496.086
37,1515.06,2018/08/02 15:28:42,6.11121,44.96919,1515.06
38,1526.026,2018/08/02 15:29:42,6.11101,44.96901,1526.026
39,1527.008,2018/08/02 15:32:42,6.11081,44.9692,1527.008
40,1545.03,2018/08/02 15:34:42,6.11007,44.96888,1545.03
41,1563.015,2018/08/02 15:38:42,6.1092,44.96888,1563.015
42,1573.089,2018/08/02 15:40:42,6.10873,44.9687,1573.089
43,1581.034,2018/08/02 15:43:42,6.10845,44.96895,1581.034
44,1591.027,2018/08/02 15:45:42,6.10809,44.96888,1591.027
45,1625.087,2018/08/02 15:55:42,6.10629,44.96822,1625.087
46,1635.096,2018/08/02 15:56:42,6.10587,44.96781,1635.096
47,1645.071,2018/08/02 16:00:42,6.10564,44.968,1645.071
48,1655.083,2018/08/02 16:05:42,6.10511,44.96755,1655.083
49,1674.025,2018/08/02 16:09:42,6.1045,44.96662,1674.025
50,1684.017,2018/08/02 16:11:42,6.10396,44.96636,1684.017
51,1703.008,2018/08/02 16:17:42,6.10311,44.96519,1703.008
52,1697.08,2018/08/02 16:19:42,6.10327,44.96484,1697.08
53,1706.085,2018/08/02 16:25:42,6.10321,44.96438,1706.085
54,1720.039,2018/08/02 16:30:42,6.10274,44.96415,1720.039
55,1745.074,2018/08/02 16:36:42,6.10225,44.96361,1745.074
56,1768.097,2018/08/02 16:42:42,6.10142,44.96324,1768.097
57,1775.077,2018/08/02 16:43:42,6.10126,44.96299,1775.077
58,1777.016,2018/08/02 16:44:42,6.10116,44.96309,1777.016
59,1779.031,2018/08/02 16:50:42,6.1011,44.96271,1779.031
60,1795.085,2018/08/02 16:57:42,6.10041,44.96208,1795.085
61,1801.089,2018/08/02 16:58:42,6.10017,44.96142,1801.089
62,1804.017,2018/08/02 16:59:42,6.09975,44.96106,1804.017
63,1804.008,2018/08/02 17:02:42,6.09986,44.96068,1804.008
64,1806.09,2018/08/02 17:04:42,6.10003,44.96058,1806.09
65,1810.055,2018/08/02 17:06:42,6.09996,44.96031,1810.055
