XL93,YL93,track_seg_point_id,ele,time,X,Y,Z
945877.357830079,6436367.13807751,0,963.093,2018/08/02 13:42:42,6.12015,44.9828,963.093
945864.233610244,6436339.94270303,1,968.065,2018/08/02 13:43:42,6.11997,44.98256,968.065
945874.911466236,6436329.24961673,2,971.021,2018/08/02 13:44:42,6.1201,44.98246,971.021
945863.581762558,6436296.56758005,3,987.008,2018/08/02 13:47:42,6.11994,44.98217,987.008
945875.878821659,6436284.82698019,4,990.061,2018/08/02 13:48:42,6.12009,44.98206,990.061
945871.286750127,6436261.30347488,5,1001.056,2018/08/02 13:49:42,6.12002,44.98185,1001.056
945879.950721575,6436261.64599606,6,999.09,2018/08/02 13:50:42,6.12013,44.98185,999.09
945927.051207009,6436107.89510061,7,1039.025,2018/08/02 13:54:42,6.12065,44.98045,1039.025
945901.631201913,6436072.43280824,8,1061.058,2018/08/02 13:59:42,6.12031,44.98014,1061.058
945852.054604636,6436049.35397168,9,1093.018,2018/08/02 14:03:42,6.11967,44.97995,1093.018
945830.356709027,6435979.58192612,10,1133.067,2018/08/02 14:12:42,6.11936,44.97933,1133.067
945795.392241884,6435985.98071332,11,1145.012,2018/08/02 14:14:42,6.11892,44.9794,1145.012
945748.177587621,6435962.99608473,12,1177.067,2018/08/02 14:17:42,6.11831,44.97921,1177.067
945741.965508797,6435940.52019952,13,1195.081,2018/08/02 14:18:42,6.11822,44.97901,1195.081
945781.396511975,6435900.9519351,14,1204.019,2018/08/02 14:19:42,6.1187,44.97864,1204.019
945774.089814581,6435886.21341362,15,1219.008,2018/08/02 14:20:42,6.1186,44.97851,1219.008
945783.368280902,6435871.01874732,16,1225.038,2018/08/02 14:21:42,6.11871,44.97837,1225.038
945829.713702824,6435836.1700826,17,1216.033,2018/08/02 14:23:42,6.11928,44.97804,1216.033
945858.909743781,6435756.18289866,18,1226.097,2018/08/02 14:26:42,6.11961,44.97731,1226.097
945851.610573597,6435661.41489398,19,1242.032,2018/08/02 14:29:42,6.11947,44.97646,1242.032
945825.446060516,6435604.80459362,20,1251.025,2018/08/02 14:30:42,6.11911,44.97596,1251.025
945812.717924085,6435527.60644962,21,1263.035,2018/08/02 14:32:42,6.11891,44.97527,1263.035
945835.391900915,6435472.92635848,22,1251.024,2018/08/02 14:35:42,6.11917,44.97477,1251.024
945831.591829466,6435389.41187518,23,1260.059,2018/08/02 14:37:42,6.11908,44.97402,1260.059
945776.501342578,6435286.08620343,24,1277.019,2018/08/02 14:40:42,6.11833,44.97311,1277.019
945779.741620775,6435263.98375398,25,1274.009,2018/08/02 14:41:42,6.11836,44.97291,1274.009
945763.026244396,6435227.75454885,26,1273.019,2018/08/02 14:43:42,6.11813,44.97259,1273.019
945716.15623151,6435195.89178462,27,1282.008,2018/08/02 14:45:42,6.11752,44.97232,1282.008
945682.719281033,6435203.46325072,28,1297.013,2018/08/02 14:48:42,6.1171,44.9724,1297.013
945547.492119894,6435031.39534884,29,1368.088,2018/08/02 14:58:42,6.1153,44.9709,1368.088
945530.948538512,6435030.74233941,30,1378.012,2018/08/02 14:59:42,6.11509,44.9709,1378.012
945512.744258628,6434952.21723311,31,1391.097,2018/08/02 15:01:42,6.11482,44.9702,1391.097
945425.255664141,6434889.85422376,32,1436.06,2018/08/02 15:09:42,6.11368,44.96967,1436.06
945411.03134693,6434890.40457246,33,1442.09,2018/08/02 15:11:42,6.1135,44.96968,1442.09
945414.488487346,6434922.77510702,34,1435.069,2018/08/02 15:13:42,6.11356,44.96997,1435.069
945324.635108272,6434880.3276618,35,1482.024,2018/08/02 15:22:42,6.1124,44.96962,1482.024
945287.520308334,6434841.0723581,36,1496.086,2018/08/02 15:26:42,6.11191,44.96928,1496.086
945232.767091968,6434828.90996698,37,1515.06,2018/08/02 15:28:42,6.11121,44.96919,1515.06
945217.798234501,6434808.31250912,38,1526.026,2018/08/02 15:29:42,6.11101,44.96901,1526.026
945201.210736909,6434828.77756846,39,1527.008,2018/08/02 15:32:42,6.11081,44.9692,1527.008
945144.311884032,6434790.96641736,40,1545.03,2018/08/02 15:34:42,6.11007,44.96888,1545.03
945075.771529434,6434788.2658212,41,1563.015,2018/08/02 15:38:42,6.1092,44.96888,1563.015
945039.530839584,6434766.83082784,42,1573.089,2018/08/02 15:40:42,6.10873,44.9687,1573.089
945016.379015368,6434793.70691428,43,1581.034,2018/08/02 15:43:42,6.10845,44.96895,1581.034
944988.323447616,6434784.82132938,44,1591.027,2018/08/02 15:45:42,6.10809,44.96888,1591.027
944849.398572813,6434705.99151495,45,1625.087,2018/08/02 15:55:42,6.10629,44.96822,1625.087
944818.100345786,6434659.18745838,46,1635.096,2018/08/02 15:56:42,6.10587,44.96781,1635.096
944799.150340485,6434679.56058512,47,1645.071,2018/08/02 16:00:42,6.10564,44.968,1645.071
944759.36001447,6434627.97660449,48,1655.083,2018/08/02 16:05:42,6.10511,44.96755,1655.083
944715.361698369,6434522.87449127,49,1674.025,2018/08/02 16:09:42,6.1045,44.96662,1674.025
944673.952427702,6434492.34626684,50,1684.017,2018/08/02 16:11:42,6.10396,44.96636,1684.017
944612.089919836,6434359.86596023,51,1703.008,2018/08/02 16:17:42,6.10311,44.96519,1703.008
944626.223254417,6434321.51854577,52,1697.08,2018/08/02 16:19:42,6.10327,44.96484,1697.08
944623.503302349,6434270.28175505,53,1706.085,2018/08/02 16:25:42,6.10321,44.96438,1706.085
944587.476169467,6434243.30035388,54,1720.039,2018/08/02 16:30:42,6.10274,44.96415,1720.039
944551.225282925,6434181.85331805,55,1745.074,2018/08/02 16:36:42,6.10225,44.96361,1745.074
944487.443464058,6434138.22036393,56,1768.097,2018/08/02 16:42:42,6.10142,44.96324,1768.097
944475.927273597,6434109.97987699,57,1775.077,2018/08/02 16:43:42,6.10126,44.96299,1775.077
944467.612124006,6434120.76831244,58,1777.016,2018/08/02 16:44:42,6.10116,44.96309,1777.016
944464.541793357,6434078.40999654,59,1779.031,2018/08/02 16:50:42,6.1011,44.96271,1779.031
944412.922662273,6434006.35632659,60,1795.085,2018/08/02 16:57:42,6.10041,44.96208,1795.085
944396.889853455,6433932.36634962,61,1801.089,2018/08/02 16:58:42,6.10017,44.96142,1801.089
