X,Y,ele,time
2.548994087,48.639474995,82,2019/07/12 15:42:35
2.548748916,48.639460495,82,2019/07/12 15:42:38
2.548556551,48.639529645,82,2019/07/12 15:42:41
2.548444066,48.639599048,82,2019/07/12 15:42:43
2.548230076,48.639655458,82,2019/07/12 15:42:46
2.548003346,48.63967658,82,2019/07/12 15:42:49
2.547859009,48.63965923,82,2019/07/12 15:42:51
2.54758995,48.639661241,82,2019/07/12 15:42:55
2.547314772,48.63969611,82,2019/07/12 15:42:59
2.546572387,48.639735421,82,2019/07/12 15:43:09
2.545456085,48.639859054,82,2019/07/12 15:43:23
2.544947304,48.640035493,82,2019/07/12 15:43:30
2.544709593,48.640066171,82,2019/07/12 15:43:33
2.544231238,48.640223835,82,2019/07/12 15:43:40
2.543504024,48.640346378,81.9067,2019/07/12 15:43:49
2.543020137,48.640398597,81.764999,2019/07/12 15:43:55
2.542635072,48.64046867,81.610001,2019/07/12 15:44:00
2.542419573,48.640403878,81.754997,2019/07/12 15:44:03
2.54222679,48.640315197,81.955002,2019/07/12 15:44:06
2.542175073,48.640318215,81.945,2019/07/12 15:44:07
2.542089578,48.640367417,81.839996,2019/07/12 15:44:09
2.541533522,48.640830349,81,2019/07/12 16:45:57
2.541649528,48.640764048,81,2019/07/12 16:46:00
2.541801492,48.640808808,81,2019/07/12 16:46:04
2.542095277,48.640795564,81,2019/07/12 16:46:08
2.542461399,48.640728509,81.035004,2019/07/12 16:46:13
2.542518144,48.640703112,81.089996,2019/07/12 16:46:14
2.542788293,48.640656928,81.190002,2019/07/12 16:46:18
2.542966073,48.64079833,81,2019/07/12 16:46:22
2.54308979,48.640854908,81,2019/07/12 16:46:24
2.54338542,48.640885502,81.044998,2019/07/12 16:46:28
2.543899147,48.640843341,81.802498,2019/07/12 16:46:34
2.54459694,48.640849879,82,2019/07/12 16:46:42
2.544947304,48.640837641,82,2019/07/12 16:46:46
2.545199012,48.640807215,82,2019/07/12 16:46:49
2.545698993,48.640777459,82,2019/07/12 16:46:55
2.54583478,48.64069188,82,2019/07/12 16:46:58
2.545835618,48.640562547,82,2019/07/12 16:47:01
2.545707962,48.640409242,82,2019/07/12 16:47:05
2.545347456,48.640066087,82,2019/07/12 16:47:18
2.545313509,48.63994916,82,2019/07/12 16:47:25
2.545382995,48.639910351,82,2019/07/12 16:47:27
2.545667896,48.639862239,82,2019/07/12 16:47:31
2.545979787,48.639835333,82,2019/07/12 16:47:35
2.546199476,48.639796861,82,2019/07/12 16:47:38
2.547703274,48.639687812,82,2019/07/12 16:47:58
2.54796043,48.639701223,82,2019/07/12 16:48:01
2.548140809,48.639694937,82,2019/07/12 16:48:03
2.548390925,48.639648417,82,2019/07/12 16:48:06
2.54864431,48.639508858,82,2019/07/12 16:48:10
2.548721088,48.639481952,82,2019/07/12 16:48:11
2.549129287,48.639464602,82,2019/07/12 16:48:16
