#srid: ENU
#ref point: None
#N;E;time;U;num;version
6510875.186;948021.421;01/01/1970 00:00:00;0.000;4104;v10
6510861.954;948043.312;01/01/1970 00:00:00;0.000;4104;v10
6510862.575;948069.710;01/01/1970 00:00:00;0.000;4104;v10
6510859.371;948094.938;01/01/1970 00:00:00;0.000;4104;v10
6510853.253;948119.582;01/01/1970 00:00:00;0.000;4104;v10
6510838.982;948140.502;01/01/1970 00:00:00;0.000;4104;v10
6510823.906;948160.753;01/01/1970 00:00:00;0.000;4104;v10
6510812.365;948183.200;01/01/1970 00:00:00;0.000;4104;v10
6510801.435;948207.026;01/01/1970 00:00:00;0.000;4104;v10
6510784.112;948226.667;01/01/1970 00:00:00;0.000;4104;v10
6510789.890;948251.376;01/01/1970 00:00:00;0.000;4104;v10
6510783.988;948275.856;01/01/1970 00:00:00;0.000;4104;v10
6510765.458;948293.129;01/01/1970 00:00:00;0.000;4104;v10
6510754.422;948341.824;01/01/1970 00:00:00;0.000;4104;v10
6510772.687;948359.248;01/01/1970 00:00:00;0.000;4104;v10
6510797.723;948359.951;01/01/1970 00:00:00;0.000;4104;v10
6510794.620;948384.941;01/01/1970 00:00:00;0.000;4104;v10
6510774.370;948400.881;01/01/1970 00:00:00;0.000;4104;v10
6510754.072;948415.654;01/01/1970 00:00:00;0.000;4104;v10
6510739.590;948436.818;01/01/1970 00:00:00;0.000;4104;v10
6510727.888;948460.753;01/01/1970 00:00:00;0.000;4104;v10
6510704.833;948473.300;01/01/1970 00:00:00;0.000;4104;v10
6510684.694;948489.236;01/01/1970 00:00:00;0.000;4104;v10
6510667.825;948509.094;01/01/1970 00:00:00;0.000;4104;v10
6510650.564;948527.486;01/01/1970 00:00:00;0.000;4104;v10
6510627.839;948539.941;01/01/1970 00:00:00;0.000;4104;v10
6510615.557;948563.277;01/01/1970 00:00:00;0.000;4104;v10
6510606.974;948587.399;01/01/1970 00:00:00;0.000;4104;v10
6510588.055;948606.015;01/01/1970 00:00:00;0.000;4104;v10
6510565.717;948619.780;01/01/1970 00:00:00;0.000;4104;v10
6510542.209;948632.112;01/01/1970 00:00:00;0.000;4104;v10
6510517.545;948640.593;01/01/1970 00:00:00;0.000;4104;v10
6510491.025;948644.394;01/01/1970 00:00:00;0.000;4104;v10
6510467.345;948635.998;01/01/1970 00:00:00;0.000;4104;v10
6510442.957;948643.065;01/01/1970 00:00:00;0.000;4104;v10
6510418.201;948652.018;01/01/1970 00:00:00;0.000;4104;v10
6510394.832;948643.064;01/01/1970 00:00:00;0.000;4104;v10
6510373.938;948629.332;01/01/1970 00:00:00;0.000;4104;v10
6510349.868;948622.277;01/01/1970 00:00:00;0.000;4104;v10
6510326.316;948611.537;01/01/1970 00:00:00;0.000;4104;v10
6510301.659;948617.445;01/01/1970 00:00:00;0.000;4104;v10
6510278.319;948628.446;01/01/1970 00:00:00;0.000;4104;v10
6510274.663;948653.461;01/01/1970 00:00:00;0.000;4104;v10
6510294.508;948668.716;01/01/1970 00:00:00;0.000;4104;v10
6510306.096;948691.399;01/01/1970 00:00:00;0.000;4104;v10
6510310.214;948716.256;01/01/1970 00:00:00;0.000;4104;v10
6510298.104;948738.339;01/01/1970 00:00:00;0.000;4104;v10
6510320.131;948752.570;01/01/1970 00:00:00;0.000;4104;v10
6510339.132;948768.950;01/01/1970 00:00:00;0.000;4104;v10
6510352.451;948790.472;01/01/1970 00:00:00;0.000;4104;v10
6510375.654;948833.732;01/01/1970 00:00:00;0.000;4104;v10
6510379.280;948860.166;01/01/1970 00:00:00;0.000;4104;v10
6510385.434;948885.875;01/01/1970 00:00:00;0.000;4104;v10
6510405.156;948928.262;01/01/1970 00:00:00;0.000;4104;v10
6510427.000;948940.707;01/01/1970 00:00:00;0.000;4104;v10
6510449.395;948953.052;01/01/1970 00:00:00;0.000;4104;v10
6510469.846;948969.528;01/01/1970 00:00:00;0.000;4104;v10
6510483.286;948991.278;01/01/1970 00:00:00;0.000;4104;v10
6510495.864;949013.686;01/01/1970 00:00:00;0.000;4104;v10
6510508.610;949037.490;01/01/1970 00:00:00;0.000;4104;v10
6510522.900;949058.269;01/01/1970 00:00:00;0.000;4104;v10
6510537.102;949079.598;01/01/1970 00:00:00;0.000;4104;v10
6510554.402;949097.838;01/01/1970 00:00:00;0.000;4104;v10
6510569.700;949118.811;01/01/1970 00:00:00;0.000;4104;v10
6510585.402;949138.753;01/01/1970 00:00:00;0.000;4104;v10
6510605.568;949153.681;01/01/1970 00:00:00;0.000;4104;v10
6510617.325;949177.759;01/01/1970 00:00:00;0.000;4104;v10
6510634.223;949197.028;01/01/1970 00:00:00;0.000;4104;v10
6510649.690;949216.668;01/01/1970 00:00:00;0.000;4104;v10
6510663.600;949239.021;01/01/1970 00:00:00;0.000;4104;v10
6510683.377;949255.290;01/01/1970 00:00:00;0.000;4104;v10
6510701.004;949273.360;01/01/1970 00:00:00;0.000;4104;v10
6510692.966;949297.149;01/01/1970 00:00:00;0.000;4104;v10
6510686.745;949321.877;01/01/1970 00:00:00;0.000;4104;v10
6510687.784;949347.480;01/01/1970 00:00:00;0.000;4104;v10
6510689.590;949372.818;01/01/1970 00:00:00;0.000;4104;v10
6510676.873;949420.961;01/01/1970 00:00:00;0.000;4104;v10
6510666.966;949445.216;01/01/1970 00:00:00;0.000;4104;v10
6510668.915;949471.328;01/01/1970 00:00:00;0.000;4104;v10
6510669.270;949496.491;01/01/1970 00:00:00;0.000;4104;v10
6510679.668;949519.921;01/01/1970 00:00:00;0.000;4104;v10
6510692.029;949542.414;01/01/1970 00:00:00;0.000;4104;v10
6510706.860;949562.780;01/01/1970 00:00:00;0.000;4104;v10
6510720.071;949584.303;01/01/1970 00:00:00;0.000;4104;v10
6510742.984;949573.785;01/01/1970 00:00:00;0.000;4104;v10
6510766.297;949584.063;01/01/1970 00:00:00;0.000;4104;v10
6510791.434;949587.251;01/01/1970 00:00:00;0.000;4104;v10
6510816.511;949588.960;01/01/1970 00:00:00;0.000;4104;v10
6510843.296;949591.692;01/01/1970 00:00:00;0.000;4104;v10
6510865.756;949602.861;01/01/1970 00:00:00;0.000;4104;v10
6510886.358;949617.536;01/01/1970 00:00:00;0.000;4104;v10
6510909.471;949628.367;01/01/1970 00:00:00;0.000;4104;v10
6510931.478;949642.049;01/01/1970 00:00:00;0.000;4104;v10
6510950.275;949658.823;01/01/1970 00:00:00;0.000;4104;v10
6510971.949;949675.246;01/01/1970 00:00:00;0.000;4104;v10
6510984.052;949653.086;01/01/1970 00:00:00;0.000;4104;v10
6510968.025;949633.393;01/01/1970 00:00:00;0.000;4104;v10
6510952.253;949611.741;01/01/1970 00:00:00;0.000;4104;v10
6510977.361;949614.229;01/01/1970 00:00:00;0.000;4104;v10
6511003.138;949616.767;01/01/1970 00:00:00;0.000;4104;v10
6511027.704;949625.045;01/01/1970 00:00:00;0.000;4104;v10
6511050.503;949636.356;01/01/1970 00:00:00;0.000;4104;v10
6511075.618;949636.271;01/01/1970 00:00:00;0.000;4104;v10
6511101.361;949632.497;01/01/1970 00:00:00;0.000;4104;v10
6511124.439;949642.471;01/01/1970 00:00:00;0.000;4104;v10
6511125.647;949617.480;01/01/1970 00:00:00;0.000;4104;v10
6511105.511;949600.605;01/01/1970 00:00:00;0.000;4104;v10
6511087.871;949582.225;01/01/1970 00:00:00;0.000;4104;v10
6511068.100;949566.114;01/01/1970 00:00:00;0.000;4104;v10
6511056.956;949543.495;01/01/1970 00:00:00;0.000;4104;v10
6511074.446;949525.326;01/01/1970 00:00:00;0.000;4104;v10
6511100.369;949523.260;01/01/1970 00:00:00;0.000;4104;v10
6511125.624;949523.871;01/01/1970 00:00:00;0.000;4104;v10
6511149.520;949532.098;01/01/1970 00:00:00;0.000;4104;v10
6511171.888;949543.738;01/01/1970 00:00:00;0.000;4104;v10
6511191.069;949561.743;01/01/1970 00:00:00;0.000;4104;v10
6511211.924;949579.914;01/01/1970 00:00:00;0.000;4104;v10
6511235.455;949570.931;01/01/1970 00:00:00;0.000;4104;v10
6511226.036;949546.995;01/01/1970 00:00:00;0.000;4104;v10
6511216.706;949522.510;01/01/1970 00:00:00;0.000;4104;v10
6511211.034;949497.799;01/01/1970 00:00:00;0.000;4104;v10
6511195.550;949477.773;01/01/1970 00:00:00;0.000;4104;v10
6511219.189;949468.707;01/01/1970 00:00:00;0.000;4104;v10
6511243.006;949477.717;01/01/1970 00:00:00;0.000;4104;v10
6511264.340;949491.270;01/01/1970 00:00:00;0.000;4104;v10
6511280.994;949510.001;01/01/1970 00:00:00;0.000;4104;v10
6511298.831;949527.749;01/01/1970 00:00:00;0.000;4104;v10
6511316.243;949548.709;01/01/1970 00:00:00;0.000;4104;v10
6511340.833;949560.337;01/01/1970 00:00:00;0.000;4104;v10
6511361.676;949575.468;01/01/1970 00:00:00;0.000;4104;v10
6511383.492;949589.937;01/01/1970 00:00:00;0.000;4104;v10
6511385.923;949564.975;01/01/1970 00:00:00;0.000;4104;v10
6511378.996;949539.458;01/01/1970 00:00:00;0.000;4104;v10
6511377.754;949514.334;01/01/1970 00:00:00;0.000;4104;v10
6511377.935;949488.684;01/01/1970 00:00:00;0.000;4104;v10
6511365.394;949439.857;01/01/1970 00:00:00;0.000;4104;v10
6511353.258;949417.435;01/01/1970 00:00:00;0.000;4104;v10
6511336.671;949397.610;01/01/1970 00:00:00;0.000;4104;v10
6511318.331;949378.401;01/01/1970 00:00:00;0.000;4104;v10
6511301.224;949359.454;01/01/1970 00:00:00;0.000;4104;v10
6511286.263;949338.628;01/01/1970 00:00:00;0.000;4104;v10
6511294.843;949314.507;01/01/1970 00:00:00;0.000;4104;v10
6511316.367;949327.274;01/01/1970 00:00:00;0.000;4104;v10
6511317.939;949352.307;01/01/1970 00:00:00;0.000;4104;v10
6511338.416;949366.674;01/01/1970 00:00:00;0.000;4104;v10
6511364.381;949368.348;01/01/1970 00:00:00;0.000;4104;v10
6511385.286;949382.309;01/01/1970 00:00:00;0.000;4104;v10
6511400.738;949404.284;01/01/1970 00:00:00;0.000;4104;v10
6511421.362;949419.503;01/01/1970 00:00:00;0.000;4104;v10
6511444.484;949430.567;01/01/1970 00:00:00;0.000;4104;v10
6511463.398;949447.491;01/01/1970 00:00:00;0.000;4104;v10
6511482.145;949465.747;01/01/1970 00:00:00;0.000;4104;v10
6511500.086;949483.334;01/01/1970 00:00:00;0.000;4104;v10
6511515.561;949503.126;01/01/1970 00:00:00;0.000;4104;v10
6511527.392;949526.261;01/01/1970 00:00:00;0.000;4104;v10
6511548.577;949541.611;01/01/1970 00:00:00;0.000;4104;v10
6511562.907;949563.320;01/01/1970 00:00:00;0.000;4104;v10
6511576.793;949585.046;01/01/1970 00:00:00;0.000;4104;v10
6511586.463;949609.671;01/01/1970 00:00:00;0.000;4104;v10
6511593.669;949633.851;01/01/1970 00:00:00;0.000;4104;v10
6511614.176;949648.917;01/01/1970 00:00:00;0.000;4104;v10
6511638.733;949654.232;01/01/1970 00:00:00;0.000;4104;v10
6511661.288;949665.006;01/01/1970 00:00:00;0.000;4104;v10
6511683.700;949677.734;01/01/1970 00:00:00;0.000;4104;v10
6511708.184;949683.987;01/01/1970 00:00:00;0.000;4104;v10
6511731.338;949695.828;01/01/1970 00:00:00;0.000;4104;v10
6511748.881;949714.521;01/01/1970 00:00:00;0.000;4104;v10
6511764.273;949735.016;01/01/1970 00:00:00;0.000;4104;v10
6511785.120;949711.957;01/01/1970 00:00:00;0.000;4104;v10
6511791.758;949686.592;01/01/1970 00:00:00;0.000;4104;v10
6511809.117;949667.961;01/01/1970 00:00:00;0.000;4104;v10
6511834.081;949661.414;01/01/1970 00:00:00;0.000;4104;v10
6511849.014;949681.537;01/01/1970 00:00:00;0.000;4104;v10
6511865.041;949701.227;01/01/1970 00:00:00;0.000;4104;v10
6511890.466;949706.039;01/01/1970 00:00:00;0.000;4104;v10
6511914.879;949713.307;01/01/1970 00:00:00;0.000;4104;v10
6511939.106;949721.441;01/01/1970 00:00:00;0.000;4104;v10
6511961.782;949732.443;01/01/1970 00:00:00;0.000;4104;v10
6511978.569;949751.711;01/01/1970 00:00:00;0.000;4104;v10
6512002.257;949760.256;01/01/1970 00:00:00;0.000;4104;v10
6512024.505;949771.665;01/01/1970 00:00:00;0.000;4104;v10
6512049.439;949775.327;01/01/1970 00:00:00;0.000;4104;v10
6512073.697;949784.238;01/01/1970 00:00:00;0.000;4104;v10
6512099.290;949784.990;01/01/1970 00:00:00;0.000;4104;v10
6512120.225;949799.647;01/01/1970 00:00:00;0.000;4104;v10
6512135.064;949820.163;01/01/1970 00:00:00;0.000;4104;v10
6512151.104;949840.163;01/01/1970 00:00:00;0.000;4104;v10
6512166.900;949859.627;01/01/1970 00:00:00;0.000;4104;v10
6512182.087;949880.518;01/01/1970 00:00:00;0.000;4104;v10
6512204.138;949892.557;01/01/1970 00:00:00;0.000;4104;v10
6512223.349;949908.531;01/01/1970 00:00:00;0.000;4104;v10
6512240.547;949926.924;01/01/1970 00:00:00;0.000;4104;v10
6512262.069;949939.608;01/01/1970 00:00:00;0.000;4104;v10
6512284.634;949950.613;01/01/1970 00:00:00;0.000;4104;v10
6512304.289;949966.569;01/01/1970 00:00:00;0.000;4104;v10
6512326.141;949979.161;01/01/1970 00:00:00;0.000;4104;v10
6512348.956;949990.857;01/01/1970 00:00:00;0.000;4104;v10
6512374.391;949998.628;01/01/1970 00:00:00;0.000;4104;v10
6512398.967;950004.408;01/01/1970 00:00:00;0.000;4104;v10
6512420.105;950018.587;01/01/1970 00:00:00;0.000;4104;v10
6512442.274;950030.777;01/01/1970 00:00:00;0.000;4104;v10
6512467.630;950033.875;01/01/1970 00:00:00;0.000;4104;v10
6512491.629;950041.860;01/01/1970 00:00:00;0.000;4104;v10
6512507.885;950061.693;01/01/1970 00:00:00;0.000;4104;v10
6512530.583;950073.237;01/01/1970 00:00:00;0.000;4104;v10
6512554.059;950084.750;01/01/1970 00:00:00;0.000;4104;v10
6512566.771;950107.610;01/01/1970 00:00:00;0.000;4104;v10
6512587.084;950153.383;01/01/1970 00:00:00;0.000;4104;v10
6512612.310;950161.473;01/01/1970 00:00:00;0.000;4104;v10
6512634.606;950174.046;01/01/1970 00:00:00;0.000;4104;v10
6512658.415;950182.817;01/01/1970 00:00:00;0.000;4104;v10
6512684.072;950185.123;01/01/1970 00:00:00;0.000;4104;v10
6512708.635;950179.681;01/01/1970 00:00:00;0.000;4104;v10
6512734.438;950180.110;01/01/1970 00:00:00;0.000;4104;v10
6512754.125;950196.841;01/01/1970 00:00:00;0.000;4104;v10
6512777.873;950187.770;01/01/1970 00:00:00;0.000;4104;v10
6512798.630;950173.444;01/01/1970 00:00:00;0.000;4104;v10
6512823.364;950169.475;01/01/1970 00:00:00;0.000;4104;v10
6512832.992;950193.006;01/01/1970 00:00:00;0.000;4104;v10
6512841.849;950216.723;01/01/1970 00:00:00;0.000;4104;v10
6512844.318;950241.869;01/01/1970 00:00:00;0.000;4104;v10
6512842.482;950267.737;01/01/1970 00:00:00;0.000;4104;v10
6512822.363;950284.063;01/01/1970 00:00:00;0.000;4104;v10
6512804.689;950303.095;01/01/1970 00:00:00;0.000;4104;v10
6512789.383;950322.966;01/01/1970 00:00:00;0.000;4104;v10
6512780.566;950346.624;01/01/1970 00:00:00;0.000;4104;v10
6512767.448;950368.354;01/01/1970 00:00:00;0.000;4104;v10
6512767.860;950343.012;01/01/1970 00:00:00;0.000;4104;v10
6512797.553;950302.529;01/01/1970 00:00:00;0.000;4104;v10
6512815.833;950284.719;01/01/1970 00:00:00;0.000;4104;v10
6512836.953;950271.157;01/01/1970 00:00:00;0.000;4104;v10
6512842.118;950245.154;01/01/1970 00:00:00;0.000;4104;v10
6512842.765;950220.114;01/01/1970 00:00:00;0.000;4104;v10
6512839.082;950195.173;01/01/1970 00:00:00;0.000;4104;v10
6512834.064;950170.209;01/01/1970 00:00:00;0.000;4104;v10
6512808.616;950173.037;01/01/1970 00:00:00;0.000;4104;v10
6512790.558;950190.838;01/01/1970 00:00:00;0.000;4104;v10
6512771.444;950207.279;01/01/1970 00:00:00;0.000;4104;v10
6512752.958;950190.031;01/01/1970 00:00:00;0.000;4104;v10
6512727.371;950186.710;01/01/1970 00:00:00;0.000;4104;v10
6512702.285;950187.498;01/01/1970 00:00:00;0.000;4104;v10
6512677.468;950192.171;01/01/1970 00:00:00;0.000;4104;v10
6512653.393;950185.047;01/01/1970 00:00:00;0.000;4104;v10
6512630.700;950173.659;01/01/1970 00:00:00;0.000;4104;v10
6512608.550;950161.938;01/01/1970 00:00:00;0.000;4104;v10
6512587.116;950148.706;01/01/1970 00:00:00;0.000;4104;v10
6512575.634;950126.029;01/01/1970 00:00:00;0.000;4104;v10
6512553.126;950113.698;01/01/1970 00:00:00;0.000;4104;v10
6512529.552;950102.502;01/01/1970 00:00:00;0.000;4104;v10
6512505.068;950093.524;01/01/1970 00:00:00;0.000;4104;v10
6512484.040;950079.340;01/01/1970 00:00:00;0.000;4104;v10
6512459.972;950072.371;01/01/1970 00:00:00;0.000;4104;v10
6512435.568;950065.338;01/01/1970 00:00:00;0.000;4104;v10
6512416.011;950049.068;01/01/1970 00:00:00;0.000;4104;v10
6512401.457;950027.373;01/01/1970 00:00:00;0.000;4104;v10
6512381.996;950010.709;01/01/1970 00:00:00;0.000;4104;v10
6512358.406;950001.850;01/01/1970 00:00:00;0.000;4104;v10
6512337.021;949987.057;01/01/1970 00:00:00;0.000;4104;v10
6512312.921;949976.582;01/01/1970 00:00:00;0.000;4104;v10
6512289.458;949965.380;01/01/1970 00:00:00;0.000;4104;v10
6512269.388;949950.143;01/01/1970 00:00:00;0.000;4104;v10
6512244.105;949954.289;01/01/1970 00:00:00;0.000;4104;v10
6512222.871;949940.502;01/01/1970 00:00:00;0.000;4104;v10
6512203.223;949924.702;01/01/1970 00:00:00;0.000;4104;v10
6512181.536;949910.699;01/01/1970 00:00:00;0.000;4104;v10
6512163.489;949893.276;01/01/1970 00:00:00;0.000;4104;v10
6512155.508;949869.208;01/01/1970 00:00:00;0.000;4104;v10
6512140.419;949848.001;01/01/1970 00:00:00;0.000;4104;v10
6512126.887;949826.808;01/01/1970 00:00:00;0.000;4104;v10
6512115.479;949803.191;01/01/1970 00:00:00;0.000;4104;v10
6512096.564;949786.270;01/01/1970 00:00:00;0.000;4104;v10
6512070.707;949784.516;01/01/1970 00:00:00;0.000;4104;v10
6512045.818;949781.943;01/01/1970 00:00:00;0.000;4104;v10
6512021.093;949775.233;01/01/1970 00:00:00;0.000;4104;v10
6511996.959;949766.628;01/01/1970 00:00:00;0.000;4104;v10
6511976.147;949752.277;01/01/1970 00:00:00;0.000;4104;v10
6511956.265;949736.174;01/01/1970 00:00:00;0.000;4104;v10
