# ---------------------------------------------------------
# Timestamps de MC1
# 1: Aller  (Est -> Ouest)
# 2: Retour (Ouiest -> Est)
# ---------------------------------------------------------

20/07/2021 09:51:30 20/07/2021 09:56:00  (1)
20/07/2021 09:56:00 20/07/2021 10:00:56  (2) 
20/07/2021 10:00:56 20/07/2021 10:05:34  (1)
20/07/2021 10:05:34 20/07/2021 10:10:00  (2)
20/07/2021 10:10:00 20/07/2021 10:14:30  (1)
20/07/2021 10:14:30 20/07/2021 10:18:45  (2)
20/07/2021 10:18:45 20/07/2021 10:22:48  (1)
20/07/2021 10:22:48 20/07/2021 10:26:57  (2)
20/07/2021 10:26:57 20/07/2021 10:30:56  (1)
20/07/2021 10:30:56 20/07/2021 10:35:00  (2)
20/07/2021 10:35:50 20/07/2021 10:38:30  (1)
20/07/2021 10:38:30 20/07/2021 10:41:10  (2)
20/07/2021 10:41:10 20/07/2021 10:44:12  (1)
20/07/2021 10:44:12 20/07/2021 10:47:30  (2)
20/07/2021 10:47:30 20/07/2021 10:50:28  (1)
20/07/2021 10:50:28 20/07/2021 10:52:43  (2)
