# ---------------------------------------------------------
# Timestamps de MC1
# 1: Aller  (Ouest -> Est)
# 2: Retour (Est -> Ouest)
# ---------------------------------------------------------

16/07/2021 11:47:23 16/07/2021 11:52:46  (1)
16/07/2021 11:52:46 16/07/2021 11:57:36  (2) 
16/07/2021 11:57:36 16/07/2021 12:01:48  (1)
16/07/2021 12:01:48 16/07/2021 12:05:59  (2)
16/07/2021 12:05:59 16/07/2021 12:09:50  (1)
16/07/2021 12:09:50 16/07/2021 12:13:46  (2)
16/07/2021 12:13:46 16/07/2021 12:17:25  (1)
16/07/2021 12:17:25 16/07/2021 12:21:10  (2)
16/07/2021 12:21:10 16/07/2021 12:25:03  (1)
16/07/2021 12:25:03 16/07/2021 12:29:09  (2)
16/07/2021 12:29:09 16/07/2021 12:33:56  (1)
16/07/2021 12:33:56 16/07/2021 12:38:23  (2)
16/07/2021 12:38:23 16/07/2021 12:42:18  (1)
16/07/2021 12:42:18 16/07/2021 12:47:21  (2)
16/07/2021 12:47:21 16/07/2021 12:51:00  (1)
16/07/2021 12:51:00 16/07/2021 12:54:14  (2)
16/07/2021 12:54:14 16/07/2021 12:58:53  (1)
16/07/2021 12:58:53 16/07/2021 13:02:49  (2)
16/07/2021 13:02:49 16/07/2021 13:06:18  (1)
16/07/2021 13:06:18 16/07/2021 13:09:53  (2)
