WKT,ID,NATURE
"LINESTRING (938631.3 6453534.4,938633.6 6453530.5,938640.2 6453530.0,938646.9 6453532.2,938656.3 6453534.9,938667.9 6453541.8,938679.4 6453548.4,938691.7 6453552.4,938696.0 6453552.7,938699.6 6453551.9)",TRONROUT0000000008049852,Chemin
"LINESTRING (937039.4 6452105.4,937031.0 6452102.6,937020.0 6452101.9,936999.4 6452103.5,936987.0 6452102.6,936976.7 6452101.7,936964.5 6452100.8,936942.2 6452101.8,936933.0 6452104.3,936923.3 6452106.9,936910.9 6452108.5,936902.9 6452107.3)",TRONROUT0000000008054884,Chemin
"LINESTRING (937223.4 6452243.1,937188.7 6452243.1,937163.4 6452241.9,937155.9 6452240.2,937149.3 6452239.6,937143.7 6452238.2,937137.8 6452237.5,937134.9 6452239.2,937134.2 6452242.5,937137.8 6452248.8,937152.1 6452261.5,937169.1 6452281.2,937182.0 6452297.2,937184.1 6452299.5,937185.5 6452302.3,937186.6 6452306.3,937186.4 6452307.8,937182.5 6452309.9,937178.9 6452310.0,937168.4 6452310.0,937131.9 6452307.0,937096.6 6452302.6,937093.3 6452302.8,937088.9 6452303.9,937086.5 6452305.1,937086.4 6452306.7,937087.6 6452309.8,937094.9 6452320.8,937122.2 6452350.9,937140.8 6452371.9,937157.5 6452391.0,937172.7 6452405.1,937177.5 6452413.8,937191.2 6452439.3,937196.6 6452460.3,937201.3 6452484.3,937204.4 6452496.1,937236.8 6452531.2)",TRONROUT0000000008054876,Chemin
"LINESTRING (937180.0 6452217.3,937169.7 6452216.8,937156.5 6452213.1,937137.8 6452203.8,937124.9 6452193.7,937112.0 6452181.1,937098.8 6452168.7,937084.9 6452160.9,937075.5 6452156.0,937069.7 6452149.0,937063.7 6452142.0,937058.3 6452132.9,937052.8 6452124.3,937051.0 6452118.1,937048.1 6452112.5,937039.4 6452105.4)",TRONROUT0000000008054877,Chemin
"LINESTRING (937269.5 6453662.9,937252.8 6453640.1,937237.4 6453616.7,937214.6 6453589.0,937191.6 6453556.0,937184.6 6453543.3,937184.5 6453531.5,937185.7 6453524.6,937186.3 6453518.8,937185.2 6453514.0,937181.0 6453507.8,937172.3 6453501.0,937166.8 6453497.3,937161.8 6453492.9,937159.5 6453489.8,937162.3 6453483.8,937168.3 6453482.2,937182.4 6453478.5,937185.2 6453476.8,937198.8 6453468.9,937203.8 6453467.7,937207.6 6453463.2,937205.0 6453459.1,937199.3 6453455.0,937194.2 6453450.3,937190.6 6453447.0,937191.3 6453443.3,937194.3 6453440.2,937203.9 6453433.2,937220.1 6453426.0,937244.9 6453417.8,937272.3 6453413.7,937303.2 6453398.1,937333.9 6453385.0,937344.4 6453378.6)",TRONROUT0000000084490901,Chemin
"LINESTRING (937504.6 6453304.6,937512.3 6453307.5,937518.4 6453309.8,937543.9 6453313.2,937563.6 6453317.4,937563.8 6453317.4,937578.3 6453324.7,937586.4 6453325.9,937593.3 6453325.7,937601.1 6453322.8,937605.0 6453319.2,937607.2 6453315.7,937605.3 6453305.9,937603.0 6453297.6,937603.5 6453296.1,937612.4 6453285.7,937614.6 6453278.7,937614.1 6453272.9,937610.6 6453263.0,937606.6 6453254.8,937606.1 6453251.4,937605.1 6453247.7,937602.7 6453244.1,937602.4 6453237.6,937604.2 6453233.9,937609.1 6453229.8,937615.6 6453227.0,937625.4 6453225.4,937631.0 6453223.8,937637 6453223,937651.5 6453228.4,937674.1 6453236.0,937694.1 6453238.5,937722.4 6453233.8,937747.8 6453225.5,937752.5 6453218.1,937751.7 6453204.0,937748.6 6453184.0,937746.5 6453161.0,937746.8 6453151.3,937746.6 6453146.5,937744.0 6453140.9,937731.2 6453123.2,937725.9 6453115.8,937722.5 6453110.5,937720.2 6453106.0,937717.7 6453094.8,937718.4 6453088.2,937721.3 6453081.2,937725.4 6453073.2,937735.5 6453065.7,937756.4 6453072.1,937770.5 6453078.0,937783.5 6453082.7)",TRONROUT0000000084490904,Chemin
"LINESTRING (937431.7 6453307.0,937460.2 6453309.1,937493.7 6453308.5,937499.4 6453307.3,937501.4 6453305.4,937504.6 6453304.6)",TRONROUT0000000084490906,Chemin
"LINESTRING (937344.4 6453378.6,937353.1 6453373.3,937359.3 6453356.2,937365.2 6453339.7,937367.9 6453326.2,937366.6 6453316.1,937365.8 6453305.6,937368.4 6453302.1,937377.1 6453299.1,937384.8 6453297.8,937397.1 6453299.4,937425.5 6453306.6,937431.7 6453307.0)",TRONROUT0000000084490907,Chemin
"LINESTRING (939033.4 6455709.0,939026.8 6455681.9,939020.4 6455668.6,939007.4 6455650.3,939002.2 6455637.1,938995.2 6455611.9,938995.0 6455596.7,938992.0 6455578.9,938991.1 6455549.7,938990.7 6455530.3,938989.6 6455520.3,938990.1 6455515.1,938991.3 6455508.2,939003.4 6455481.7,939008.6 6455469.9,939010.0 6455463.2,939010.9 6455453.7,939011.0 6455421.1,939008.2 6455410.3,939006.4 6455397.5,939008.7 6455378.4,939010.3 6455371.4,939009.6 6455368.1,939006.7 6455366.9,939003.8 6455366.7,938998.9 6455367.4,938993.7 6455371.2,938986.5 6455382.6,938975.6 6455406.5,938967.2 6455418.5,938958.7 6455431.3,938952.5 6455445.5,938949.0 6455455.6,938945.4 6455461.4,938940.4 6455471.0,938936.3 6455480.6,938934.0 6455492.6,938934.8 6455507.3,938934.3 6455514.9,938932.5 6455518.6,938929.8 6455520.7,938926.8 6455521.6,938920.5 6455521.3,938917.7 6455519.5,938914.7 6455516.6,938904.3 6455485.6,938900.2 6455466.5,938900.1 6455457.5,938903.5 6455431.3,938903.0 6455418.1,938902.7 6455399.4,938900.6 6455383.8,938895.4 6455359.0,938892.5 6455344.3,938892.5 6455325.5,938890.9 6455315.9,938888.0 6455305.4,938885.5 6455288.1,938882.9 6455283.3,938879.4 6455281.5)",TRONROUT0000002004092427,Chemin
"LINESTRING (937391.5 6452231.5,937339.6 6452215.8,937328.8 6452194.7,937292.3 6452167.8,937258.8 6452146.9,937243.4 6452119.7,937228.1 6452110.9,937190.4 6452111.2,937141.9 6452110.0,937100.9 6452096.8,937053.9 6452085.1,937039.4 6452105.4)",TRONROUT0000000008054873,Chemin
