WKT,link_id,source,target,direction
"LINESTRING (2.55134152 48.64286357,2.55082021 48.6428742,2.55047398 48.64288728,2.55030547 48.64291093,2.55016532 48.64295088)",troncon_de_route.TRONROUT0000000002222156,"1368","1369","1"
"LINESTRING (2.54967989 48.64462752,2.5496369 48.6434715,2.54961387 48.6433086,2.54954441 48.64317791)",troncon_de_route.TRONROUT0000000002222158,"1370","1371","1"
"LINESTRING (2.54990556 48.64316758,2.54982168 48.64329319,2.54978365 48.64345406,2.549828 48.64460919)",troncon_de_route.TRONROUT0000000002222161,"1372","1365","1"
"LINESTRING (2.55014697 48.64271694,2.55032166 48.64276438,2.55049244 48.642792,2.55091463 48.6427855)",troncon_de_route.TRONROUT0000000002222171,"1374","1375","1"
"LINESTRING (2.55137868 48.64248771,2.55137766 48.64260645,2.55137747 48.64262893,2.55138708 48.64277469)",troncon_de_route.TRONROUT0000000002222175,"1376","1377","1"
"LINESTRING (2.55096876 48.64248887,2.55106367 48.64250002,2.55137868 48.64248771)",troncon_de_route.TRONROUT0000000002222177,"1378","1376","1"
"LINESTRING (2.55091463 48.6427855,2.55119972 48.64278028,2.55138708 48.64277469)",troncon_de_route.TRONROUT0000000002222179,"1375","1377","1"
"LINESTRING (2.54477009 48.64292679,2.54563486 48.6429103,2.54593892 48.64290877,2.54725042 48.64287238,2.54741197 48.64287029)",troncon_de_route.TRONROUT0000000002222198,"1395","1396","1"
"LINESTRING (2.54333 48.64292038,2.54334852 48.64297622,2.54334806 48.64302839,2.54333122 48.64309219)",troncon_de_route.TRONROUT0000000002222199,"1397","1398","1"
"LINESTRING (2.54496828 48.64386123,2.54560789 48.64382769,2.54569799 48.64376867,2.54590001 48.64363811,2.54593701 48.64359778,2.54594983 48.64352766,2.54594647 48.64313367,2.54593952 48.64299602)",troncon_de_route.TRONROUT0000000002222200,"1399","1400","0"
"LINESTRING (2.54593952 48.64299602,2.54563547 48.64299666,2.54350826 48.64302541,2.54341028 48.64305382,2.54333122 48.64309219)",troncon_de_route.TRONROUT0000000002222201,"1400","1398","1"
"LINESTRING (2.5425091 48.64304226,2.54252484 48.64295058,2.54257572 48.64287521,2.54261126 48.64284657)",troncon_de_route.TRONROUT0000000002222202,"1401","1402","1"
"LINESTRING (2.54333122 48.64309219,2.54329271 48.64314961,2.54324348 48.6431917,2.54318474 48.64323465,2.54311799 48.64326228,2.54305132 48.64328001,2.54295486 48.64329044,2.54286667 48.6432865,2.5427975 48.64327994,2.542719 48.64325445,2.54264873 48.6432182,2.54258807 48.6431703,2.54253295 48.64310982,2.5425091 48.64304226)",troncon_de_route.TRONROUT0000000002222203,"1398","1401","1"
"LINESTRING (2.5425091 48.64304226,2.54224714 48.64304216,2.5421114 48.64304254)",troncon_de_route.TRONROUT0000000002222204,"1401","1403","0"
"LINESTRING (2.54920135 48.64298052,2.54907406 48.64294496,2.5489331 48.64292194,2.54867382 48.64292545,2.54825968 48.64294277,2.54793251 48.64294783,2.54782256 48.64294921,2.54725103 48.64295963,2.54593952 48.64299602)",troncon_de_route.TRONROUT0000000002222205,"1404","1400","1"
"LINESTRING (2.54966158 48.63981511,2.54966333 48.63992755)",troncon_de_route.TRONROUT0000000002223231,"1502","1503","1"
"LINESTRING (2.55096876 48.64248887,2.55095935 48.64216141,2.55093846 48.64190678,2.55092038 48.64179967,2.5508969 48.64168804)",troncon_de_route.TRONROUT0000000002223233,"1378","1504","-1"
"LINESTRING (2.54891649 48.63697615,2.54896247 48.63699521,2.5490191 48.6370377,2.54916616 48.63713901,2.54919024 48.63718047,2.54927003 48.63737057,2.54928173 48.63743088,2.54926233 48.63747668)",troncon_de_route.TRONROUT0000000002223237,"1505","1506","0"
"LINESTRING (2.54957723 48.64062704,2.54956795 48.64044351,2.54957045 48.64015298,2.54957004 48.64004324,2.54957791 48.63991734)",troncon_de_route.TRONROUT0000000002223239,"1509","1510","1"
"LINESTRING (2.54956031 48.6378628,2.5496115 48.63790707,2.54964498 48.63795937,2.54965667 48.63801968)",troncon_de_route.TRONROUT0000000002223240,"1511","1512","1"
"LINESTRING (2.54884452 48.63792486,2.54889115 48.63786836,2.54893351 48.63783524,2.54898126 48.63780664,2.54905345 48.63777633,2.54913638 48.63776045)",troncon_de_route.TRONROUT0000000002223241,"1513","1514","1"
"LINESTRING (2.54966684 48.63952009,2.54966529 48.63969999,2.54966158 48.63981511)",troncon_de_route.TRONROUT0000000002223242,"1515","1502","1"
"LINESTRING (2.54913638 48.63776045,2.54922056 48.63775627,2.5493006 48.63776107,2.54939003 48.6377776,2.54946716 48.63780398,2.54954279 48.63784744,2.54956031 48.6378628)",troncon_de_route.TRONROUT0000000002223243,"1514","1511","1"
"LINESTRING (2.54946068 48.63682349,2.54981298 48.63673128,2.54994627 48.6366985,2.55003596 48.63668445,2.55011342 48.63667304,2.55016373 48.63666154,2.55021684 48.63664105,2.55026865 48.63661336,2.55030282 48.63658471,2.55032755 48.63654972,2.55034418 48.63651021,2.55035556 48.63644908,2.55035751 48.63637983,2.55036035 48.63620803)",troncon_de_route.TRONROUT0000000002223244,"1516","1517","-1"
"LINESTRING (2.5503231 48.63817331,2.550411 48.63821052,2.55049355 48.63823872)",troncon_de_route.TRONROUT0000000002223245,"1518","1519","0"
"LINESTRING (2.5487716 48.6389842,2.54873872 48.63901915,2.5486313 48.63904213,2.54852414 48.63903543,2.5484485 48.63899287,2.5484217 48.63895229)",troncon_de_route.TRONROUT0000000002223246,"1520","1521","1"
"LINESTRING (2.54950394 48.63826197,2.54940039 48.63830835,2.54930253 48.63832507,2.5492129 48.63833103,2.54914647 48.63832178)",troncon_de_route.TRONROUT0000000002223248,"1523","1524","1"
"LINESTRING (2.54890702 48.63823182,2.54887604 48.63820472,2.54884112 48.63816141,2.54881718 48.63810555)",troncon_de_route.TRONROUT0000000002223249,"1525","1526","1"
"LINESTRING (2.54939238 48.63860786,2.54924599 48.6384283,2.54914647 48.63832178)",troncon_de_route.TRONROUT0000000002223251,"1527","1524","1"
"LINESTRING (2.54982634 48.63738707,2.54999384 48.63763686,2.55002327 48.63768645,2.550046 48.63772611)",troncon_de_route.TRONROUT0000000002223252,"1528","1529","-1"
"LINESTRING (2.55311525 48.64131139,2.552989 48.64131362,2.55286816 48.64131856,2.55278395 48.64132544,2.55271057 48.64133506,2.55263312 48.64134467,2.55255429 48.64135786,2.55246726 48.64137643,2.55236661 48.64140123,2.55187696 48.64151993,2.55166881 48.64157671,2.55132897 48.6416366)",troncon_de_route.TRONROUT0000000002223253,"1441","1530","0"
"LINESTRING (2.54922636 48.63645291,2.54902016 48.63612741)",troncon_de_route.TRONROUT0000000002223254,"1531","1532","1"
"LINESTRING (2.54914647 48.63832178,2.54905833 48.63831245,2.54897718 48.63828066,2.54890702 48.63823182)",troncon_de_route.TRONROUT0000000002223255,"1524","1525","1"
"LINESTRING (2.54891649 48.63697615,2.54901037 48.63694862,2.54946068 48.63682349)",troncon_de_route.TRONROUT0000000002223256,"1505","1516","1"
