link_id,source,target,direction,wkt
troncon_de_route.TRONROUT0000000002214824,0,1,0,"LINESTRING(2.58273665 48.68560149,2.58290758 48.68546087,2.58305947 48.68532289,2.58324566 48.68514184,2.58345106 48.68493658,2.58361949 48.68476807,2.58388358 48.68452704,2.58393157 48.68447144,2.58395642 48.68442115,2.58396627 48.68437891,2.58396674 48.68431955,2.58395087 48.68426463,2.58388912 48.68417267,2.58380306 48.68406263,2.58377364 48.68400406,2.58374965 48.68394641,2.58375948 48.68390507,2.58378015 48.68386916,2.58381438 48.6838351,2.58385943 48.68380738,2.58391949 48.68376981,2.58438996 48.68354119,2.58470625 48.68339747,2.58495144 48.68331198,2.58523338 48.68321672,2.58552897 48.6831134,2.58577971 48.68301264,2.5860197 48.68289654,2.58626649 48.68277956,2.58650118 48.68264726,2.58673182 48.68251044,2.58691614 48.68239145,2.58695029 48.68236728,2.5871429 48.68223123,2.58741477 48.68203428,2.58797491 48.68162606,2.5882357 48.68145427,2.58853312 48.68128889,2.58883599 48.68112173,2.58916747 48.68094298,2.58965844 48.68069102,2.59034428 48.68035788,2.59092116 48.68006303)"
troncon_de_route.TRONROUT0000000002215805,2,3,0,"LINESTRING(2.58871461 48.67306743,2.58898942 48.67317991,2.589183 48.67326063,2.5899084 48.67358604,2.59022229 48.67373913,2.59076045 48.6740432,2.59175278 48.67462587,2.5920637 48.67481312,2.59230578 48.67494527)"
troncon_de_route.TRONROUT0000000002215806,4,5,0,"LINESTRING(2.58507273 48.67162194,2.58523267 48.67166207,2.58570952 48.67181214,2.58595996 48.67191465,2.58606013 48.67195638,2.58664746 48.67221927)"
troncon_de_route.TRONROUT0000000002215807,2,5,0,"LINESTRING(2.58871461 48.67306743,2.58785478 48.67274064,2.58747977 48.67258913,2.58697222 48.6723688,2.58665964 48.6722247,2.58664746 48.67221927)"
troncon_de_route.TRONROUT0000000002215809,6,7,0,"LINESTRING(2.58853572 48.67370903,2.5885586 48.6737352,2.58860168 48.67378392,2.58867676 48.67390741,2.58878002 48.67407596,2.58887543 48.67420492,2.58894804 48.67429781,2.58896688 48.67432037,2.5890356 48.67438986)"
troncon_de_route.TRONROUT0000000002215810,8,9,0,"LINESTRING(2.58568977 48.67430543,2.58558804 48.67463158,2.58549304 48.67496586,2.58542756 48.67517341,2.58539241 48.6753235,2.5853455 48.67541598,2.58527979 48.67548141,2.58524399 48.67554245,2.58522415 48.67564672,2.58520555 48.67576629,2.58517214 48.67586871,2.58509185 48.67606002,2.58501574 48.67623695)"
troncon_de_route.TRONROUT0000000002215812,10,6,0,"LINESTRING(2.58648001 48.67622045,2.58649881 48.6760766,2.58651993 48.67598133,2.58656299 48.67586095,2.58668729 48.67560054,2.58677989 48.67539757,2.58689248 48.67524326,2.58706417 48.67500009,2.58719576 48.67484764,2.58731886 48.67473833,2.58739279 48.67466303,2.58743946 48.67460023,2.58748087 48.67451582,2.58755553 48.67434967,2.58766851 48.67414408,2.58782959 48.6738685,2.58792855 48.67371953,2.58795726 48.67369534,2.58798316 48.67368374,2.58803341 48.67368301,2.58822875 48.67371247,2.58837261 48.67372646,2.58843508 48.67372668,2.58853572 48.67370903)"
troncon_de_route.TRONROUT0000000002215813,6,2,0,"LINESTRING(2.58853572 48.67370903,2.58852384 48.67366492,2.58852293 48.67360825,2.58863697 48.67326864,2.58871461 48.67306743)"
troncon_de_route.TRONROUT0000000002215814,11,12,0,"LINESTRING(2.58280057 48.67112289,2.58300934 48.6711686,2.58314357 48.67119695)"
troncon_de_route.TRONROUT0000000002215815,13,12,0,"LINESTRING(2.58351505 48.6712765,2.58322898 48.67121524,2.58314357 48.67119695)"
