link_id,source,target,direction,wkt
troncon_de_route.TRONROUT0000000002222126,0,1,1,"LINESTRING(2.55607245 48.64327257,2.55608774 48.64323125,2.55610575 48.64318814)"
troncon_de_route.TRONROUT0000000002222156,2,3,1,"LINESTRING(2.55134152 48.64286357,2.55082021 48.6428742,2.55047398 48.64288728,2.55030547 48.64291093,2.55016532 48.64295088)"
troncon_de_route.TRONROUT0000000002222158,4,5,1,"LINESTRING(2.54967989 48.64462752,2.5496369 48.6434715,2.54961387 48.6433086,2.54954441 48.64317791)"
troncon_de_route.TRONROUT0000000002222161,6,7,1,"LINESTRING(2.54990556 48.64316758,2.54982168 48.64329319,2.54978365 48.64345406,2.549828 48.64460919)"
troncon_de_route.TRONROUT0000000002222171,8,9,1,"LINESTRING(2.55014697 48.64271694,2.55032166 48.64276438,2.55049244 48.642792,2.55091463 48.6427855)"
troncon_de_route.TRONROUT0000000002222175,10,11,1,"LINESTRING(2.55137868 48.64248771,2.55137766 48.64260645,2.55137747 48.64262893,2.55138708 48.64277469)"
troncon_de_route.TRONROUT0000000002222177,12,10,1,"LINESTRING(2.55096876 48.64248887,2.55106367 48.64250002,2.55137868 48.64248771)"
troncon_de_route.TRONROUT0000000002222179,9,11,1,"LINESTRING(2.55091463 48.6427855,2.55119972 48.64278028,2.55138708 48.64277469)"
troncon_de_route.TRONROUT0000000002222198,13,14,1,"LINESTRING(2.54477009 48.64292679,2.54563486 48.6429103,2.54593892 48.64290877,2.54725042 48.64287238,2.54741197 48.64287029)"
troncon_de_route.TRONROUT0000000002222199,15,16,1,"LINESTRING(2.54333 48.64292038,2.54334852 48.64297622,2.54334806 48.64302839,2.54333122 48.64309219)"
troncon_de_route.TRONROUT0000000002222200,17,18,0,"LINESTRING(2.54496828 48.64386123,2.54560789 48.64382769,2.54569799 48.64376867,2.54590001 48.64363811,2.54593701 48.64359778,2.54594983 48.64352766,2.54594647 48.64313367,2.54593952 48.64299602)"
troncon_de_route.TRONROUT0000000002222201,18,16,1,"LINESTRING(2.54593952 48.64299602,2.54563547 48.64299666,2.54350826 48.64302541,2.54341028 48.64305382,2.54333122 48.64309219)"
troncon_de_route.TRONROUT0000000002222202,19,20,1,"LINESTRING(2.5425091 48.64304226,2.54252484 48.64295058,2.54257572 48.64287521,2.54261126 48.64284657)"
troncon_de_route.TRONROUT0000000002222203,16,19,1,"LINESTRING(2.54333122 48.64309219,2.54329271 48.64314961,2.54324348 48.6431917,2.54318474 48.64323465,2.54311799 48.64326228,2.54305132 48.64328001,2.54295486 48.64329044,2.54286667 48.6432865,2.5427975 48.64327994,2.542719 48.64325445,2.54264873 48.6432182,2.54258807 48.6431703,2.54253295 48.64310982,2.5425091 48.64304226)"
troncon_de_route.TRONROUT0000000002222204,19,21,0,"LINESTRING(2.5425091 48.64304226,2.54224714 48.64304216,2.5421114 48.64304254)"
troncon_de_route.TRONROUT0000000002222205,22,18,1,"LINESTRING(2.54920135 48.64298052,2.54907406 48.64294496,2.5489331 48.64292194,2.54867382 48.64292545,2.54825968 48.64294277,2.54793251 48.64294783,2.54782256 48.64294921,2.54725103 48.64295963,2.54593952 48.64299602)"
troncon_de_route.TRONROUT0000000002223160,23,24,0,"LINESTRING(2.55311525 48.64131139,2.55333906 48.64132843,2.55350317 48.64134253,2.55365775 48.6413602,2.55431518 48.64146161,2.55568028 48.6416628,2.55692739 48.64185274,2.5570033 48.64186472,2.55712394 48.64188315)"
