WKT,link_id,source,target,direction
"LINESTRING (667294.199656192 6838213.49998586,667295.300290774 6838208.89999712,667296.600199196 6838204.09988311)",troncon_de_route.TRONROUT0000000002222126,0,1,1
"LINESTRING (666945.399750198 6838170.00034068,666906.999736545 6838171.40045878,666881.500042365 6838172.99975679,666869.1002996 6838175.69967904,666858.800269298 6838180.19983818)",troncon_de_route.TRONROUT0000000002222156,2,3,1
"LINESTRING (666824.100025739 6838366.80027449,666820.199897941 6838238.30045112,666818.399919864 6838220.20010259,666813.199717042 6838205.70014055)",troncon_de_route.TRONROUT0000000002222158,4,5,1
"LINESTRING (666839.800195712 6838204.40000183,666833.700112578 6838218.39962629,666831.000303729 6838236.29994595,666834.999822282 6838364.70025972)",troncon_de_route.TRONROUT0000000002222161,6,7,1
"LINESTRING (666857.300193925 6838154.19981953,666870.200289291 6838159.4005399,666882.799754191 6838162.39948781,666913.899904209 6838161.49988068)",troncon_de_route.TRONROUT0000000002222171,8,9,1
"LINESTRING (666947.900053939 6838128.19945021,666947.89990614 6838141.40051092,666947.900107149 6838143.8997505,666948.700177182 6838160.10024734)",troncon_de_route.TRONROUT0000000002222175,10,11,1
"LINESTRING (666917.700325959 6838128.50007306,666924.699776198 6838129.69988788,666947.900053939 6838128.19945021)",troncon_de_route.TRONROUT0000000002222177,12,10,1
"LINESTRING (666913.899904209 6838161.49988068,666934.900217361 6838160.80014185,666948.700177182 6838160.10024734)",troncon_de_route.TRONROUT0000000002222179,9,11,1
"LINESTRING (666461.300078179 6838179.79969277,666525.0 6838177.59950137,666547.400224289 6838177.30054859,666643.999718147 6838172.7001609,666655.900336286 6838172.39957902)",troncon_de_route.TRONROUT0000000002222198,13,14,1
"LINESTRING (666355.199657622 6838179.69971125,666356.599990187 6838185.89969638,666356.599642386 6838191.6997654,666355.400005894 6838198.79975088)",troncon_de_route.TRONROUT0000000002222199,15,16,1
"LINESTRING (666476.500059244 6838283.59967483,666523.599995875 6838279.59958811,666530.200103212 6838272.99998309,666544.999889526 6838258.39966992,666547.699985359 6838253.90040138,666548.599640353 6838246.09954449,666548.100231912 6838202.30006639,666547.500206081 6838187.00010265)",troncon_de_route.TRONROUT0000000002222200,17,18,0
"LINESTRING (666547.500206081 6838187.00010265,666525.100250813 6838187.20010721,666368.400179288 6838191.30022697,666361.199938635 6838194.50037582,666355.400005894 6838198.79975088)",troncon_de_route.TRONROUT0000000002222201,18,16,1
"LINESTRING (666294.799681674 6838193.59951148,666295.900247459 6838183.40049232,666299.600207 6838174.99970049,666302.200117894 6838171.80055107)",troncon_de_route.TRONROUT0000000002222202,19,20,1
"LINESTRING (666355.400005894 6838198.79975088,666352.599774922 6838205.19968968,666348.99991737 6838209.89992277,666344.699989081 6838214.69981999,666339.800093406 6838217.7999709,666334.899727584 6838219.79948321,666327.799953359 6838221.00014275,666321.300207752 6838220.59973349,666316.200032737 6838219.89994557,666310.400300916 6838217.09964564,666305.19996328 6838213.0996226,666300.700113502 6838207.8003424,666296.600301962 6838201.10015026,666294.799681674 6838193.59951148)",troncon_de_route.TRONROUT0000000002222203,16,19,1
"LINESTRING (666294.799681674 6838193.59951148,666275.500183302 6838193.7002441,666265.500026967 6838193.80047219)",troncon_de_route.TRONROUT0000000002222204,19,21,0
"LINESTRING (666787.800156209 6838183.90001415,666778.399701612 6838180.00026269,666768.0 6838177.50038409,666748.900270139 6838177.99975141,666718.400181425 6838180.0997353,666694.299682229 6838180.80021629,666686.200173549 6838181.0000161,666644.1002756 6838182.3997121,666547.500206081 6838187.00010265)",troncon_de_route.TRONROUT0000000002222205,22,18,1
"LINESTRING (667075.100066021 6837996.69947267,667091.600141294 6837998.50055354,667103.699921125 6837999.99970384,667115.099809163 6838001.89973401,667163.600018968 6838012.90014518,667264.300305595 6838034.70014283,667356.299903868 6838055.29996731,667361.900042246 6838056.60043566,667370.799679483 6838058.59948808)",troncon_de_route.TRONROUT0000000002223160,23,24,0
"LINESTRING (667075.100066021 6837996.69947267,667075.599723604 6837989.30010221,667076.099784695 6837980.80008711,667080.00036909 6837961.80026501,667084.800212811 6837941.30004316)",troncon_de_route.TRONROUT0000000002223193,23,25,0
"LINESTRING (667089.700098723 6837917.8997929,667084.800212811 6837941.30004316)",troncon_de_route.TRONROUT0000000002223223,26,25,0
"LINESTRING (666819.699821542 6837831.80007747,666819.90004936 6837844.29955916)",troncon_de_route.TRONROUT0000000002223231,27,28,1
"LINESTRING (666917.700325959 6838128.50007306,666916.800026989 6838092.09944586,666915.099977506 6838063.80033389,666913.700213364 6838051.90022025,666911.899739914 6838039.49987104)",troncon_de_route.TRONROUT0000000002223233,12,29,-1
"LINESTRING (666813.9999961 6837922.0997024,666813.199886365 6837901.70013333,666813.199832353 6837869.40017366,666813.100030457 6837857.20029202,666813.600031113 6837843.20038657)",troncon_de_route.TRONROUT0000000002223239,30,31,1
"LINESTRING (666819.900313146 6837798.9998113,666819.900175559 6837819.00036084,666819.699821542 6837831.80007747)",troncon_de_route.TRONROUT0000000002223242,32,27,1
"LINESTRING (666753.600187518 6837739.80025924,666751.199828661 6837743.6995735,666743.29984409 6837746.29954854,666735.400157074 6837745.59983253,666729.800028729 6837740.90020947,666727.799632711 6837736.4001323)",troncon_de_route.TRONROUT0000000002223246,33,34,1
"LINESTRING (667075.100066021 6837996.69947267,667065.79991195 6837997.0000371,667056.900050299 6837997.59963678,667050.700152259 6837998.3996392,667045.299888938 6837999.49974094,667039.599761422 6838000.60043486,667033.800218951 6838002.09970804,667027.3999293 6838004.2005191,667020.000109187 6838006.99963042,666983.99975634 6838020.40042821,666968.70006185 6838026.79985541,666943.700072954 6838033.60019135)",troncon_de_route.TRONROUT0000000002223253,23,35,0
"LINESTRING (666819.599893047 6837920.60023803,666819.500082848 6837930.09968652,666819.599666024 6837938.00039889,666822.400127906 6837955.30009548,666823.400179762 6838029.4999764,666823.799797114 6838048.80009463)",troncon_de_route.TRONROUT0000000002223260,36,37,1
"LINESTRING (666810.199818671 6838133.79957809,666814.899678571 6838119.6000258,666816.399755256 6838109.39994868,666817.099636825 6838105.00005066,666817.0 6838088.69996961,666815.899694241 6838048.59945319,666815.499886939 6838035.59968667,666812.500194356 6837957.80021191,666812.699672511 6837952.60048202,666814.199953395 6837939.19965811,666814.199884577 6837932.60024934,666813.9999961 6837922.0997024)",troncon_de_route.TRONROUT0000000002223261,38,30,1
"LINESTRING (666819.899973277 6837853.20030673,666819.599868936 6837867.50035942,666819.600237425 6837881.00045639,666819.99997798 6837908.19960736,666819.599893047 6837920.60023803)",troncon_de_route.TRONROUT0000000002223263,39,36,1
"LINESTRING (666813.600031113 6837843.20038657,666813.999778429 6837830.99988126)",troncon_de_route.TRONROUT0000000002223264,31,40,1
"LINESTRING (666947.900053939 6838128.19945021,666947.800268084 6838113.10006967,666943.700072954 6838033.60019135)",troncon_de_route.TRONROUT0000000002223270,10,35,1
