WKT,link_id,source,target,one_way
"LINESTRING (942754.4 6437403.5,942748.7 6437396.9,942739.0 6437385.8)",557,1060,1061,0
"LINESTRING (945871.4 6436358.3,945869.8 6436355.3,945866.5 6436349.4)",560,1066,1067,0
"LINESTRING (947935.3 6435949.2,947893.6 6435954.6,947874.7 6435957.1)",562,1070,1071,0
"LINESTRING (950171.0 6433848.8,950142.8 6433858.9)",564,1074,1075,0
"LINESTRING (945389.2 6437573.8,945389.7 6437582.2)",1026,1980,1981,0
"LINESTRING (945086.8 6436955.7,945093.5 6436952.0)",1115,2155,2156,0
"LINESTRING (943025.2 6437252.0,943016.2 6437244.7,943008.3 6437238.4)",1232,2387,2388,0
"LINESTRING (945424.2 6436678.2,945430.1 6436689.7,945436.4 6436702.2)",1233,2389,2390,0
"LINESTRING (945442 6436737,945442.6 6436730.3)",1353,2628,2629,0
"LINESTRING (950138.7 6433814.1,950143.7 6433811.3)",1441,2804,2805,0
"LINESTRING (950537.4 6433014.5,950540.2 6433019.2,950544.1 6433025.3)",1567,3055,3056,0
"LINESTRING (945778.4 6436559.4,945774.2 6436559.6,945772.6 6436559.7)",1579,3079,3080,0
"LINESTRING (950509.5 6434531.7,950511.1 6434528.4,950513.5 6434524.0)",1580,3081,3082,0
"LINESTRING (948755.9 6434771.4,948752.8 6434756.8,948752.6 6434755.6,948750.4 6434743.4)",1581,3083,3084,0
"LINESTRING (948548.0 6434731.1,948546.4 6434733.7,948543.5 6434738.2)",1582,3085,3086,0
"LINESTRING (947950.1 6434147.0,947939.2 6434153.6)",1584,3089,3090,0
"LINESTRING (944043.3 6432763.5,944044.5 6432767.8,944045.6 6432771.2)",1585,3091,3092,0
"LINESTRING (952830.2 6430973.7,952828.3 6430967.6,952827.7 6430966.3,952822.4 6430955.1)",1587,3095,3096,0
"LINESTRING (952779.2 6430914.4,952786.8 6430914.5,952793.8 6430914.4,952795.6 6430915.5,952801.6 6430918.8)",1588,3097,3098,0
"LINESTRING (948750.4 6434743.4,948745.7 6434721.7)",1689,3084,3299,0
"LINESTRING (950177.0 6434026.8,950183.2 6434026.0,950187.6 6434023.3)",1701,3322,3323,0
"LINESTRING (947419.9 6433577.3,947412.1 6433584.8)",1706,3332,3333,0
"LINESTRING (950284.4 6433117.9,950275.1 6433123.0)",1707,3334,3335,0
"LINESTRING (950439.7 6433026.5,950436.1 6433028.6)",1730,3380,3381,0
"LINESTRING (945588.9 6437259.6,945583.7 6437263.2,945579.0 6437266.2)",2129,4165,4166,0
"LINESTRING (946103.6 6436629.2,946100.3 6436641.4,946097.3 6436653.4,946095.8 6436660.0,946094.6 6436665.1)",2133,4173,4174,0
"LINESTRING (942089.2 6436041.6,942094.8 6436039.3)",2212,4327,4328,0
"LINESTRING (942030.4 6435987.5,942029.8 6435991.7)",2576,5018,5019,0
"LINESTRING (942339.1 6436651.2,942343.7 6436652.6,942348.4 6436654.0)",2577,5020,5021,0
"LINESTRING (945133.4 6437204.2,945126.8 6437204.4)",2582,5030,5031,0
"LINESTRING (945868.2 6435316.7,945859.6 6435320.9)",2583,5032,5033,0
"LINESTRING (942322.5 6436814.6,942325.9 6436818.4)",2584,5034,5035,0
"LINESTRING (942138.4 6436019.0,942129.8 6436018.5)",2585,5036,5037,0
"LINESTRING (941759.0 6438161.8,941772.3 6438176.2,941774.8 6438179.5)",2586,5038,5039,0
"LINESTRING (951318.9 6431217.6,951324.0 6431218.8,951326.8 6431219.3)",2587,5040,5041,0
"LINESTRING (951817.9 6431530.1,951818.5 6431534.2,951819.7 6431540.1,951819.8 6431542.4)",2588,5042,5043,0
"LINESTRING (951590.2 6431618.9,951594.3 6431618.5)",2589,5044,5045,0
"LINESTRING (948155.1 6437630.4,948157.0 6437625.5)",2739,5335,5336,0
"LINESTRING (948218.6 6437666.3,948216.4 6437670.9)",2740,5337,5338,0
"LINESTRING (944443.2 6437024.6,944431.0 6437008.5)",2744,5345,5346,0
"LINESTRING (945685.3 6437389.4,945694.7 6437389.9)",2771,5397,5398,0
"LINESTRING (942223.1 6437487.9,942213.6 6437487.6)",2893,5624,5625,0
"LINESTRING (945353.6 6437565.6,945360.0 6437560.3)",2895,5628,5629,0
"LINESTRING (945723.9 6437775.1,945719.0 6437777.8)",2896,5630,5631,0
"LINESTRING (953542.8 6431298.8,953546.9 6431306.0,953552.0 6431314.9,953557.4 6431319.8,953564.9 6431322.1,953574.3 6431321.4,953583.2 6431319.7,953595.7 6431318.3)",2937,5710,5711,0
"LINESTRING (952989.1 6431157.8,952964.1 6431161.3,952960.1 6431161.1)",2938,5712,5713,0
"LINESTRING (941757.2 6438858.3,941794.0 6438828.2,941810.0 6438806.1,941814.1 6438800.5,941831.0 6438768.2,941836.7 6438751.0,941845.2 6438719.5,941862.3 6438691.7,941867.2 6438681.6,941874.3 6438662.5,941886.0 6438629.9,941903.5 6438590.6,941920.1 6438565.1,941930.2 6438554.1,941941.9 6438543.4,941947.8 6438533.0,941950.5 6438525.0,941953.2 6438515.6,941963.3 6438473.4,941973.3 6438425.9,941993.2 6438353.1,942005.1 6438311.3,942011.3 6438282.5,942013.3 6438265.1,942013.6 6438247.1,942011.8 6438233.5,942010.7 6438224.4,942024.6 6438162.7,942035.3 6438126.9,942036.9 6438121.6,942044.3 6438094.3,942046.1 6438064.0,942055.1 6438030.9,942079.3 6437980.6,942091.6 6437960.2,942102.6 6437945.8,942129.9 6437926.1,942153.1 6437909.8,942165.9 6437887.5,942183.4 6437857.3,942193.9 6437842.1,942202.7 6437820.0,942209.6 6437792.4,942215.9 6437764.8,942229.0 6437739.9,942244.5 6437722.8,942263.8 6437706.6,942285.1 6437694.4,942302.3 6437688.0,942313.4 6437685.4)",11593,16246,16247,0
"LINESTRING (942434.5 6437662.2,942418.1 6437660.9,942400.6 6437661.2,942397.6 6437660.7,942394.5 6437659.1,942393.6 6437653.5)",11641,16303,16304,0
