edge_id,source,target,direction,poids,wkt
1,"Bayonne","Bordeaux",0,185,"LINESTRING (-1.474841 43.492949, -0.57918 44.837789)"
2,"Bordeaux","Toulouse",0,245,"LINESTRING (-0.57918 44.837789, 1.444209 43.604652)"
3,"Toulouse","Bayonne",0,296,"LINESTRING (1.444209 43.604652, -1.474841 43.492949)"
4,"Toulouse","Marseille",0,402,"LINESTRING (1.444209 43.604652, 5.36978 43.296482)"
5,"Marseille","Nice",0,204,"LINESTRING (5.36978 43.296482, 7.2619532 43.7101728)"
6,"Marseille","Lyon",0,313,"LINESTRING (5.36978 43.296482, 4.835659 45.764043)"
7,"Bordeaux","Clermont-Ferrand",0,375,"LINESTRING (-0.57918 44.837789, 3.087025 45.777222)"
8,"Bordeaux","Poitiers",0,257,"LINESTRING (-0.57918 44.837789, 0.340375 46.580224)"
9,"Clermont-Ferrand","Lyon",0,164,"LINESTRING (3.087025 45.777222, 4.835659 45.764043)"
10,"Lyon","Dijon",0,195,"LINESTRING (4.835659 45.764043, 5.04148 47.322047)"
11,"Clermont-Ferrand","Orléans",0,300,"LINESTRING (3.087025 45.777222, 1.909251 47.902964)"
12,"Clermont-Ferrand","Tours",0,340,"LINESTRING (3.087025 45.777222, 0.68484 47.394144)"
13,"Poitiers","Tours",0,103,"LINESTRING (0.340375 46.580224, 0.68484 47.394144)"
14,"Poitiers","Nantes",0,218,"LINESTRING (0.340375 46.580224, -1.553621 47.218371)"
15,"Nantes","Le Mans",0,184,"LINESTRING (-1.553621 47.218371, 0.199556 48.00611)"
16,"Tours","Le Mans",0,101,"LINESTRING (0.68484 47.394144, 0.199556 48.00611)"
17,"Tours","Orléans",0,123,"LINESTRING (0.68484 47.394144, 1.909251 47.902964)"
18,"Nantes","Rennes",0,184,"LINESTRING (-1.553621 47.218371, -1.6777926 48.117266)"
19,"Nantes","Brest",0,295,"LINESTRING (-1.553621 47.218371, -4.486076 48.390394)"
20,"Brest","Rennes",0,243,"LINESTRING (-4.486076 48.390394, -1.6777926 48.117266)"
21,"Rennes","Caen",0,182,"LINESTRING (-1.6777926 48.117266, -0.370679 49.182863)"
22,"Rennes","Le Mans",0,152,"LINESTRING (-1.6777926 48.117266, 0.199556 48.00611)"
23,"Le Mans","Paris",0,209,"LINESTRING (0.199556 48.00611, 2.3522219 48.856614)"
24,"Orléans","Paris",0,132,"LINESTRING (1.909251 47.902964, 2.3522219 48.856614)"
25,"Caen","Paris",0,234,"LINESTRING (-0.370679 49.182863, 2.3522219 48.856614)"
26,"Caen","Lille",0,388,"LINESTRING (-0.370679 49.182863, 3.057256 50.62925)"
27,"Paris","Lille",0,220,"LINESTRING (2.3522219 48.856614, 3.057256 50.62925)"
28,"Paris","Reims",0,143,"LINESTRING (2.3522219 48.856614, 4.031696 49.258329)"
29,"Paris","Troyes",0,178,"LINESTRING (2.3522219 48.856614, 4.0744009 48.2973451)"
30,"Troyes","Dijon",0,187,"LINESTRING (4.0744009 48.2973451, 5.04148 47.322047)"
31,"Dijon","Strasbourg",0,330,"LINESTRING (5.04148 47.322047, 7.7521113 48.5734053)"
32,"Strasbourg","Reims",0,351,"LINESTRING (7.7521113 48.5734053, 4.031696 49.258329)"
33,"Reims","Troyes",0,126,"LINESTRING (4.031696 49.258329, 4.0744009 48.2973451)"
34,"Reims","Lille",0,206,"LINESTRING (4.031696 49.258329, 3.057256 50.62925)"
