# ---------------------------------------------------------
# Timestamps de FC3
# 1: Aller  (Est -> Ouest)
# 2: Retour (Ouest -> Est)
# ---------------------------------------------------------

28/07/2021 09:19:03 28/07/2021 09:23:20  (1)
28/07/2021 09:23:20 28/07/2021 09:27:22  (2) 
28/07/2021 09:27:22 28/07/2021 09:31:15  (1)
28/07/2021 09:31:15 28/07/2021 09:35:20  (2)
28/07/2021 09:35:20 28/07/2021 09:39:22  (1)
28/07/2021 09:39:22 28/07/2021 09:43:30  (2)
28/07/2021 09:43:30 28/07/2021 09:47:15  (1)
28/07/2021 09:47:15 28/07/2021 09:51:14  (2)
28/07/2021 09:51:14 28/07/2021 09:55:15  (1)
28/07/2021 09:55:15 28/07/2021 09:59:20  (2)

28/07/2021 09:59:20 28/07/2021 10:05:00  (1)
28/07/2021 10:05:00 28/07/2021 10:11:09  (2)
28/07/2021 10:11:09 28/07/2021 10:17:10  (1)
28/07/2021 10:17:10 28/07/2021 10:23:30  (2)
28/07/2021 10:23:30 28/07/2021 10:29:30  (1)
28/07/2021 10:29:30 28/07/2021 10:34:14  (2)
28/07/2021 10:34:14 28/07/2021 10:39:40  (1)
28/07/2021 10:39:40 28/07/2021 10:44:40  (2)
28/07/2021 10:44:40 28/07/2021 10:50:10  (1)
28/07/2021 10:50:10 28/07/2021 11:00:00  (2)
